sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
its_not_looking_too_good_is_it 1582003893642 411 240 touchstart 318 31 0.61383926868439 0.61383926868439 0 its 0
its_not_looking_too_good_is_it 1582003893661 411 240 touchmove 318 31 0.537109375 0.537109375 0 its 0
its_not_looking_too_good_is_it 1582003893676 411 240 touchmove 318 32 0.537109375 0.537109375 0 its 0
its_not_looking_too_good_is_it 1582003893693 411 240 touchmove 318 32 0.61383926868439 0.61383926868439 0 its 0
its_not_looking_too_good_is_it 1582003893710 411 240 touchmove 317 33 0.61383926868439 0.61383926868439 0 its 0
its_not_looking_too_good_is_it 1582003893726 411 240 touchmove 317 33 0.61383926868439 0.61383926868439 0 its 0
its_not_looking_too_good_is_it 1582003893743 411 240 touchmove 316 33 0.69056928157806 0.69056928157806 0 its 0
its_not_looking_too_good_is_it 1582003893760 411 240 touchmove 308 34 0.76729911565781 0.76729911565781 0 its 0
its_not_looking_too_good_is_it 1582003893777 411 240 touchmove 299 33 0.84402900934219 0.84402900934219 0 its 0
its_not_looking_too_good_is_it 1582003893793 411 240 touchmove 287 33 0.92075896263123 0.92075896263123 0 its 0
its_not_looking_too_good_is_it 1582003893810 411 240 touchmove 272 33 0.99748885631561 0.99748885631561 0 its 0
its_not_looking_too_good_is_it 1582003893827 411 240 touchmove 255 33 0.99748885631561 0.99748885631561 0 its 0
its_not_looking_too_good_is_it 1582003893844 411 240 touchmove 239 33 1.07421875 1.07421875 0 its 0
its_not_looking_too_good_is_it 1582003893860 411 240 touchmove 220 36 1.07421875 1.07421875 0 its 0
its_not_looking_too_good_is_it 1582003893877 411 240 touchmove 203 40 0.99748885631561 0.99748885631561 0 its 0
its_not_looking_too_good_is_it 1582003893894 411 240 touchmove 187 46 1.07421875 1.07421875 0 its 0
its_not_looking_too_good_is_it 1582003893910 411 240 touchmove 173 53 1.07421875 1.07421875 0 its 0
its_not_looking_too_good_is_it 1582003893927 411 240 touchmove 160 58 1.1509486436844 1.1509486436844 0 its 0
its_not_looking_too_good_is_it 1582003893944 411 240 touchmove 147 63 1.1509486436844 1.1509486436844 0 its 0
its_not_looking_too_good_is_it 1582003893961 411 240 touchmove 136 67 1.1509486436844 1.1509486436844 0 its 0
its_not_looking_too_good_is_it 1582003893977 411 240 touchmove 125 71 1.1509486436844 1.1509486436844 0 its 0
its_not_looking_too_good_is_it 1582003893994 411 240 touchmove 116 76 1.2276785373688 1.2276785373688 0 its 0
its_not_looking_too_good_is_it 1582003894011 411 240 touchmove 107 81 1.2276785373688 1.2276785373688 0 its 0
its_not_looking_too_good_is_it 1582003894027 411 240 touchmove 101 87 1.2276785373688 1.2276785373688 0 its 0
its_not_looking_too_good_is_it 1582003894044 411 240 touchmove 95 93 1.2276785373688 1.2276785373688 0 its 0
its_not_looking_too_good_is_it 1582003894061 411 240 touchmove 92 98 1.2276785373688 1.2276785373688 0 its 0
its_not_looking_too_good_is_it 1582003894078 411 240 touchmove 90 104 1.2276785373688 1.2276785373688 0 its 0
its_not_looking_too_good_is_it 1582003894094 411 240 touchmove 90 108 1.07421875 1.07421875 0 its 0
its_not_looking_too_good_is_it 1582003894111 411 240 touchmove 91 112 0.92075896263123 0.92075896263123 0 its 0
its_not_looking_too_good_is_it 1582003894118 411 240 touchend 91 112 0.92075896263123 0.92075896263123 0 its 0
its_not_looking_too_good_is_it 1582003894573 411 240 touchstart 255 164 0.69056928157806 0.69056928157806 0 not 0
its_not_looking_too_good_is_it 1582003894578 411 240 touchmove 255 164 0.69056928157806 0.69056928157806 0 not 0
its_not_looking_too_good_is_it 1582003894595 411 240 touchmove 255 163 0.76729911565781 0.76729911565781 0 not 0
its_not_looking_too_good_is_it 1582003894612 411 240 touchmove 256 162 0.76729911565781 0.76729911565781 0 not 0
its_not_looking_too_good_is_it 1582003894629 411 240 touchmove 262 155 0.76729911565781 0.76729911565781 0 not 0
its_not_looking_too_good_is_it 1582003894645 411 240 touchmove 273 144 0.76729911565781 0.76729911565781 0 not 0
its_not_looking_too_good_is_it 1582003894662 411 240 touchmove 285 131 0.61383926868439 0.61383926868439 0 not 0
its_not_looking_too_good_is_it 1582003894679 411 240 touchmove 297 119 0.69056928157806 0.69056928157806 0 not 0
its_not_looking_too_good_is_it 1582003894696 411 240 touchmove 306 108 0.61383926868439 0.61383926868439 0 not 0
its_not_looking_too_good_is_it 1582003894712 411 240 touchmove 312 99 0.61383926868439 0.61383926868439 0 not 0
its_not_looking_too_good_is_it 1582003894730 411 240 touchmove 316 91 0.61383926868439 0.61383926868439 0 not 0
its_not_looking_too_good_is_it 1582003894751 411 240 touchmove 322 80 0.61383926868439 0.61383926868439 0 not 0
its_not_looking_too_good_is_it 1582003894762 411 240 touchmove 324 78 0.61383926868439 0.61383926868439 0 not 0
its_not_looking_too_good_is_it 1582003894779 411 240 touchmove 326 73 0.61383926868439 0.61383926868439 0 not 0
its_not_looking_too_good_is_it 1582003894795 411 240 touchmove 328 68 0.69056928157806 0.69056928157806 0 not 0
its_not_looking_too_good_is_it 1582003894813 411 240 touchmove 329 64 0.61383926868439 0.61383926868439 0 not 0
its_not_looking_too_good_is_it 1582003894829 411 240 touchmove 329 60 0.69056928157806 0.69056928157806 0 not 0
its_not_looking_too_good_is_it 1582003894846 411 240 touchmove 327 55 0.69056928157806 0.69056928157806 0 not 0
its_not_looking_too_good_is_it 1582003894863 411 240 touchmove 321 49 0.69056928157806 0.69056928157806 0 not 0
its_not_looking_too_good_is_it 1582003894880 411 240 touchmove 313 43 0.76729911565781 0.76729911565781 0 not 0
its_not_looking_too_good_is_it 1582003894896 411 240 touchmove 303 39 0.84402900934219 0.84402900934219 0 not 0
its_not_looking_too_good_is_it 1582003894913 411 240 touchmove 291 36 0.99748885631561 0.99748885631561 0 not 0
its_not_looking_too_good_is_it 1582003894930 411 240 touchmove 278 35 0.92075896263123 0.92075896263123 0 not 0
its_not_looking_too_good_is_it 1582003894947 411 240 touchmove 262 36 0.99748885631561 0.99748885631561 0 not 0
its_not_looking_too_good_is_it 1582003894964 411 240 touchmove 246 40 0.99748885631561 0.99748885631561 0 not 0
its_not_looking_too_good_is_it 1582003894980 411 240 touchmove 230 44 0.99748885631561 0.99748885631561 0 not 0
its_not_looking_too_good_is_it 1582003894997 411 240 touchmove 217 49 1.07421875 1.07421875 0 not 0
its_not_looking_too_good_is_it 1582003895013 411 240 touchmove 205 54 1.07421875 1.07421875 0 not 0
its_not_looking_too_good_is_it 1582003895030 411 240 touchmove 196 59 1.07421875 1.07421875 0 not 0
its_not_looking_too_good_is_it 1582003895047 411 240 touchmove 190 63 0.99748885631561 0.99748885631561 0 not 0
its_not_looking_too_good_is_it 1582003895064 411 240 touchmove 186 68 0.84402900934219 0.84402900934219 0 not 0
its_not_looking_too_good_is_it 1582003895070 411 240 touchend 186 68 0.84402900934219 0.84402900934219 0 not 0
its_not_looking_too_good_is_it 1582003895423 411 240 touchstart 196 26 0.92075896263123 0.92075896263123 0 looking 1
its_not_looking_too_good_is_it 1582003895447 411 240 touchmove 195 26 1.07421875 1.07421875 0 looking 1
its_not_looking_too_good_is_it 1582003895464 411 240 touchmove 193 27 1.07421875 1.07421875 0 looking 1
its_not_looking_too_good_is_it 1582003895482 411 240 touchmove 192 27 1.07421875 1.07421875 0 looking 1
its_not_looking_too_good_is_it 1582003895497 411 240 touchmove 190 28 1.07421875 1.07421875 0 looking 1
its_not_looking_too_good_is_it 1582003895513 411 240 touchmove 185 30 0.99748885631561 0.99748885631561 0 looking 1
its_not_looking_too_good_is_it 1582003895531 411 240 touchmove 183 33 1.07421875 1.07421875 0 looking 1
its_not_looking_too_good_is_it 1582003895547 411 240 touchmove 181 36 1.07421875 1.07421875 0 looking 1
its_not_looking_too_good_is_it 1582003895564 411 240 touchmove 179 38 1.07421875 1.07421875 0 looking 1
its_not_looking_too_good_is_it 1582003895583 411 240 touchmove 178 40 0.99748885631561 0.99748885631561 0 looking 1
its_not_looking_too_good_is_it 1582003895598 411 240 touchmove 178 41 0.99748885631561 0.99748885631561 0 looking 1
its_not_looking_too_good_is_it 1582003895615 411 240 touchmove 177 42 0.99748885631561 0.99748885631561 0 looking 1
its_not_looking_too_good_is_it 1582003895632 411 240 touchmove 177 43 1.07421875 1.07421875 0 looking 1
its_not_looking_too_good_is_it 1582003895650 411 240 touchmove 176 43 0.99748885631561 0.99748885631561 0 looking 1
its_not_looking_too_good_is_it 1582003895665 411 240 touchmove 176 44 1.07421875 1.07421875 0 looking 1
its_not_looking_too_good_is_it 1582003895682 411 240 touchmove 176 44 0.99748885631561 0.99748885631561 0 looking 1
its_not_looking_too_good_is_it 1582003895699 411 240 touchmove 176 44 0.99748885631561 0.99748885631561 0 looking 1
its_not_looking_too_good_is_it 1582003895715 411 240 touchmove 177 45 0.92075896263123 0.92075896263123 0 looking 1
its_not_looking_too_good_is_it 1582003895732 411 240 touchmove 177 46 0.92075896263123 0.92075896263123 0 looking 1
its_not_looking_too_good_is_it 1582003895746 411 240 touchmove 177 46 0.92075896263123 0.92075896263123 0 looking 1
its_not_looking_too_good_is_it 1582003895748 411 240 touchend 177 46 0.92075896263123 0.92075896263123 0 looking 1
its_not_looking_too_good_is_it 1582003898028 411 240 touchstart 367 108 0.46037948131561 0.46037948131561 0 looking 0
its_not_looking_too_good_is_it 1582003898038 411 240 touchmove 367 108 0.537109375 0.537109375 0 looking 0
its_not_looking_too_good_is_it 1582003898054 411 240 touchmove 366 108 0.537109375 0.537109375 0 looking 0
its_not_looking_too_good_is_it 1582003898071 411 240 touchmove 366 108 0.537109375 0.537109375 0 looking 0
its_not_looking_too_good_is_it 1582003898088 411 240 touchmove 365 108 0.537109375 0.537109375 0 looking 0
its_not_looking_too_good_is_it 1582003898104 411 240 touchmove 364 107 0.537109375 0.537109375 0 looking 0
its_not_looking_too_good_is_it 1582003898121 411 240 touchmove 361 104 0.537109375 0.537109375 0 looking 0
its_not_looking_too_good_is_it 1582003898138 411 240 touchmove 357 100 0.537109375 0.537109375 0 looking 0
its_not_looking_too_good_is_it 1582003898157 411 240 touchmove 352 91 0.537109375 0.537109375 0 looking 0
its_not_looking_too_good_is_it 1582003898172 411 240 touchmove 347 79 0.61383926868439 0.61383926868439 0 looking 0
its_not_looking_too_good_is_it 1582003898188 411 240 touchmove 341 63 0.61383926868439 0.61383926868439 0 looking 0
its_not_looking_too_good_is_it 1582003898205 411 240 touchmove 337 50 0.69056928157806 0.69056928157806 0 looking 0
its_not_looking_too_good_is_it 1582003898222 411 240 touchmove 334 38 0.69056928157806 0.69056928157806 0 looking 0
its_not_looking_too_good_is_it 1582003898238 411 240 touchmove 330 29 0.76729911565781 0.76729911565781 0 looking 0
its_not_looking_too_good_is_it 1582003898255 411 240 touchmove 328 22 0.84402900934219 0.84402900934219 0 looking 0
its_not_looking_too_good_is_it 1582003898272 411 240 touchmove 326 19 0.92075896263123 0.92075896263123 0 looking 0
its_not_looking_too_good_is_it 1582003898288 411 240 touchmove 324 18 0.92075896263123 0.92075896263123 0 looking 0
its_not_looking_too_good_is_it 1582003898305 411 240 touchmove 323 17 0.92075896263123 0.92075896263123 0 looking 0
its_not_looking_too_good_is_it 1582003898321 411 240 touchmove 323 18 0.92075896263123 0.92075896263123 0 looking 0
its_not_looking_too_good_is_it 1582003898338 411 240 touchmove 321 21 0.92075896263123 0.92075896263123 0 looking 0
its_not_looking_too_good_is_it 1582003898355 411 240 touchmove 319 28 0.84402900934219 0.84402900934219 0 looking 0
its_not_looking_too_good_is_it 1582003898372 411 240 touchmove 317 37 0.76729911565781 0.76729911565781 0 looking 0
its_not_looking_too_good_is_it 1582003898389 411 240 touchmove 315 49 0.76729911565781 0.76729911565781 0 looking 0
its_not_looking_too_good_is_it 1582003898405 411 240 touchmove 314 64 0.69056928157806 0.69056928157806 0 looking 0
its_not_looking_too_good_is_it 1582003898422 411 240 touchmove 313 81 0.61383926868439 0.61383926868439 0 looking 0
its_not_looking_too_good_is_it 1582003898439 411 240 touchmove 314 98 0.61383926868439 0.61383926868439 0 looking 0
its_not_looking_too_good_is_it 1582003898455 411 240 touchmove 316 112 0.61383926868439 0.61383926868439 0 looking 0
its_not_looking_too_good_is_it 1582003898472 411 240 touchmove 318 123 0.537109375 0.537109375 0 looking 0
its_not_looking_too_good_is_it 1582003898489 411 240 touchmove 319 131 0.61383926868439 0.61383926868439 0 looking 0
its_not_looking_too_good_is_it 1582003898507 411 240 touchmove 320 135 0.61383926868439 0.61383926868439 0 looking 0
its_not_looking_too_good_is_it 1582003898522 411 240 touchmove 320 137 0.61383926868439 0.61383926868439 0 looking 0
its_not_looking_too_good_is_it 1582003898539 411 240 touchmove 319 136 0.537109375 0.537109375 0 looking 0
its_not_looking_too_good_is_it 1582003898556 411 240 touchmove 315 130 0.537109375 0.537109375 0 looking 0
