sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
please_revise_accordingly 1583624908384 411 222 touchstart 400 13 12.000001907349 18.8571434021 21.999998092651 please 0
please_revise_accordingly 1583624908399 411 222 touchmove 397 17 17.142858505249 25.714286804199 82 please 0
please_revise_accordingly 1583624908415 411 222 touchmove 392 27 29.142860412598 19.714286804199 39.000003814697 please 0
please_revise_accordingly 1583624908433 411 222 touchmove 388 39 25.714286804199 18 0 please 0
please_revise_accordingly 1583624908448 411 222 touchmove 385 64 25.714286804199 17.142858505249 8 please 0
please_revise_accordingly 1583624908465 411 222 touchmove 384 81 16.285717010498 24.8571434021 84.999992370605 please 0
please_revise_accordingly 1583624908481 411 222 touchmove 384 97 18 30.000003814697 43 please 0
please_revise_accordingly 1583624908499 411 222 touchmove 383 108 17.142858505249 24.000003814697 71 please 0
please_revise_accordingly 1583624908514 411 222 touchmove 383 114 17.142858505249 23.142860412598 84.999992370605 please 0
please_revise_accordingly 1583624908531 411 222 touchmove 382 116 18 24.000003814697 82 please 0
please_revise_accordingly 1583624908547 411 222 touchmove 381 118 19.714286804199 24.8571434021 73.999992370605 please 0
please_revise_accordingly 1583624908566 411 222 touchmove 380 118 18.8571434021 25.714286804199 66 please 0
please_revise_accordingly 1583624908582 411 222 touchmove 380 118 18.8571434021 25.714286804199 66 please 0
please_revise_accordingly 1583624908598 411 222 touchmove 366 112 20.571432113647 27.428575515747 40 please 0
please_revise_accordingly 1583624908614 411 222 touchmove 348 102 19.714286804199 25.714286804199 62.999996185303 please 0
please_revise_accordingly 1583624908632 411 222 touchmove 327 92 18.8571434021 30.8571434021 40 please 0
please_revise_accordingly 1583624908648 411 222 touchmove 304 84 24.8571434021 24.8571434021 1 please 0
please_revise_accordingly 1583624908666 411 222 touchmove 288 79 19.714286804199 27.428575515747 50.999996185303 please 0
please_revise_accordingly 1583624908683 411 222 touchmove 283 78 20.571432113647 29.142860412598 62.999996185303 please 0
please_revise_accordingly 1583624908701 411 222 touchmove 272 74 18.8571434021 26.571432113647 36.999996185303 please 0
please_revise_accordingly 1583624908715 411 222 touchmove 265 71 22.285715103149 25.714286804199 36.999996185303 please 0
please_revise_accordingly 1583624908732 411 222 touchmove 257 68 18 30.8571434021 43 please 0
please_revise_accordingly 1583624908748 411 222 touchmove 245 64 18 32.571434020996 40 please 0
please_revise_accordingly 1583624908767 411 222 touchmove 223 58 18 26.571432113647 43 please 0
please_revise_accordingly 1583624908784 411 222 touchmove 200 51 19.714286804199 22.285715103149 40 please 0
please_revise_accordingly 1583624908800 411 222 touchmove 178 43 17.142858505249 29.142860412598 27.999998092651 please 0
please_revise_accordingly 1583624908817 411 222 touchmove 160 35 18.8571434021 24.000003814697 20 please 0
please_revise_accordingly 1583624908832 411 222 touchmove 152 31 19.714286804199 24.8571434021 40 please 0
please_revise_accordingly 1583624908850 411 222 touchmove 133 22 19.714286804199 26.571432113647 20 please 0
please_revise_accordingly 1583624908867 411 222 touchmove 125 19 29.142860412598 23.142860412598 65 please 0
please_revise_accordingly 1583624908882 411 222 touchmove 119 17 20.571432113647 34.285717010498 40 please 0
please_revise_accordingly 1583624908899 411 222 touchmove 113 16 28.285715103149 21.42857170105 88 please 0
please_revise_accordingly 1583624908916 411 222 touchmove 106 15 19.714286804199 28.285715103149 30.999998092651 please 0
please_revise_accordingly 1583624908932 411 222 touchmove 99 13 19.714286804199 31.714286804199 48 please 0
please_revise_accordingly 1583624908950 411 222 touchmove 94 13 28.285715103149 23.142860412598 56 please 0
please_revise_accordingly 1583624908967 411 222 touchmove 91 13 29.142860412598 22.285715103149 73 please 0
please_revise_accordingly 1583624908984 411 222 touchmove 87 15 22.285715103149 28.285715103149 8 please 0
please_revise_accordingly 1583624909001 411 222 touchmove 83 18 25.714286804199 23.142860412598 79 please 0
please_revise_accordingly 1583624909017 411 222 touchmove 77 24 24.000003814697 30.8571434021 50.999996185303 please 0
please_revise_accordingly 1583624909034 411 222 touchmove 70 34 23.142860412598 26.571432113647 40 please 0
please_revise_accordingly 1583624909052 411 222 touchmove 64 46 27.428575515747 22.285715103149 88 please 0
please_revise_accordingly 1583624909067 411 222 touchmove 58 59 24.8571434021 22.285715103149 76 please 0
please_revise_accordingly 1583624909084 411 222 touchmove 53 71 23.142860412598 30.8571434021 30.999998092651 please 0
please_revise_accordingly 1583624909101 411 222 touchmove 50 82 28.285715103149 24.000003814697 33.000003814697 please 0
please_revise_accordingly 1583624909119 411 222 touchmove 48 91 24.8571434021 29.142860412598 73.999992370605 please 0
please_revise_accordingly 1583624909134 411 222 touchmove 47 97 24.8571434021 32.571434020996 50.999996185303 please 0
please_revise_accordingly 1583624909151 411 222 touchmove 47 101 24.8571434021 34.285717010498 43 please 0
please_revise_accordingly 1583624909167 411 222 touchmove 47 103 35.142864227295 25.714286804199 50 please 0
please_revise_accordingly 1583624909184 411 222 touchmove 48 104 35.142864227295 26.571432113647 56 please 0
please_revise_accordingly 1583624909200 411 222 touchmove 49 105 26.571432113647 34.285717010498 27.999998092651 please 0
please_revise_accordingly 1583624909219 411 222 touchmove 49 105 25.714286804199 33.428573608398 20 please 0
please_revise_accordingly 1583624909234 411 222 touchmove 51 105 25.714286804199 30.000003814697 0 please 0
please_revise_accordingly 1583624909251 411 222 touchmove 55 103 28.285715103149 25.714286804199 65 please 0
please_revise_accordingly 1583624909268 411 222 touchmove 62 98 30.8571434021 25.714286804199 36.000003814697 please 0
please_revise_accordingly 1583624909284 411 222 touchmove 70 89 24.000003814697 28.285715103149 10.999999046326 please 0
please_revise_accordingly 1583624909301 411 222 touchmove 79 77 24.000003814697 29.142860412598 43 please 0
please_revise_accordingly 1583624909318 411 222 touchmove 86 67 24.000003814697 33.428573608398 56.999996185303 please 0
please_revise_accordingly 1583624909334 411 222 touchmove 91 56 28.285715103149 25.714286804199 8 please 0
please_revise_accordingly 1583624909353 411 222 touchmove 94 47 31.714286804199 25.714286804199 53.000003814697 please 0
please_revise_accordingly 1583624909368 411 222 touchmove 96 41 24.000003814697 29.142860412598 48 please 0
please_revise_accordingly 1583624909385 411 222 touchmove 97 34 24.8571434021 25.714286804199 73.999992370605 please 0
please_revise_accordingly 1583624909403 411 222 touchmove 99 27 25.714286804199 23.142860412598 88 please 0
please_revise_accordingly 1583624909419 411 222 touchmove 106 16 24.8571434021 17.142858505249 0 please 0
please_revise_accordingly 1583624909438 411 222 touchmove 112 9 16.285717010498 15.42857170105 45 please 0
please_revise_accordingly 1583624909440 411 222 touchend 112 9 16.285717010498 15.42857170105 45 please 0
please_revise_accordingly 1583624911021 411 222 touchstart 165 27 17.142858505249 12.8571434021 0 revise 0
please_revise_accordingly 1583624911037 411 222 touchmove 165 27 23.142860412598 18.8571434021 0 revise 0
please_revise_accordingly 1583624911059 411 222 touchmove 165 27 24.000003814697 25.714286804199 78.999992370605 revise 0
please_revise_accordingly 1583624911070 411 222 touchmove 165 27 24.000003814697 26.571432113647 78.999992370605 revise 0
please_revise_accordingly 1583624911087 411 222 touchmove 164 27 24.000003814697 27.428575515747 66 revise 0
please_revise_accordingly 1583624911103 411 222 touchmove 159 27 22.285715103149 24.8571434021 30.999998092651 revise 0
please_revise_accordingly 1583624911122 411 222 touchmove 139 29 18 21.42857170105 17 revise 0
please_revise_accordingly 1583624911138 411 222 touchmove 118 29 13.714287757874 13.714287757874 1 revise 0
please_revise_accordingly 1583624911153 411 222 touchmove 104 27 12.000001907349 10.285716056824 0 revise 0
please_revise_accordingly 1583624911169 411 222 touchmove 95 25 10.285716056824 12.8571434021 66 revise 0
please_revise_accordingly 1583624911186 411 222 touchmove 90 25 14.571430206299 16.285717010498 66 revise 0
please_revise_accordingly 1583624911204 411 222 touchmove 88 24 19.714286804199 23.142860412598 43 revise 0
please_revise_accordingly 1583624911220 411 222 touchmove 87 24 21.42857170105 24.8571434021 40 revise 0
please_revise_accordingly 1583624911237 411 222 touchmove 87 23 22.285715103149 26.571432113647 40 revise 0
please_revise_accordingly 1583624911253 411 222 touchmove 87 23 23.142860412598 28.285715103149 43 revise 0
please_revise_accordingly 1583624911272 411 222 touchmove 87 23 23.142860412598 28.285715103149 48 revise 0
please_revise_accordingly 1583624911286 411 222 touchmove 87 23 24.8571434021 29.142860412598 68 revise 0
please_revise_accordingly 1583624911303 411 222 touchmove 89 24 24.8571434021 28.285715103149 50.999996185303 revise 0
please_revise_accordingly 1583624911320 411 222 touchmove 91 27 24.8571434021 29.142860412598 30.999998092651 revise 0
please_revise_accordingly 1583624911337 411 222 touchmove 103 40 25.714286804199 28.285715103149 77 revise 0
please_revise_accordingly 1583624911355 411 222 touchmove 115 54 29.142860412598 24.8571434021 79 revise 0
please_revise_accordingly 1583624911370 411 222 touchmove 128 69 29.142860412598 24.8571434021 33.000003814697 revise 0
please_revise_accordingly 1583624911390 411 222 touchmove 134 76 29.142860412598 24.000003814697 65 revise 0
please_revise_accordingly 1583624911403 411 222 touchmove 152 97 19.714286804199 34.285717010498 48 revise 0
please_revise_accordingly 1583624911420 411 222 touchmove 158 103 24.8571434021 24.000003814697 68 revise 0
please_revise_accordingly 1583624911436 411 222 touchmove 177 124 25.714286804199 23.142860412598 39.000003814697 revise 0
please_revise_accordingly 1583624911453 411 222 touchmove 188 137 18 22.285715103149 13.999999046326 revise 0
please_revise_accordingly 1583624911470 411 222 touchmove 198 147 17.142858505249 30.000003814697 40 revise 0
please_revise_accordingly 1583624911487 411 222 touchmove 204 153 24.000003814697 22.285715103149 19 revise 0
please_revise_accordingly 1583624911504 411 222 touchmove 207 156 20.571432113647 22.285715103149 50.999996185303 revise 0
please_revise_accordingly 1583624911523 411 222 touchmove 209 158 20.571432113647 23.142860412598 43 revise 0
please_revise_accordingly 1583624911539 411 222 touchmove 209 159 21.42857170105 24.000003814697 43 revise 0
please_revise_accordingly 1583624911554 411 222 touchmove 210 159 22.285715103149 24.8571434021 40 revise 0
please_revise_accordingly 1583624911570 411 222 touchmove 210 159 23.142860412598 25.714286804199 36.999996185303 revise 0
please_revise_accordingly 1583624911587 411 222 touchmove 210 159 24.000003814697 25.714286804199 30.999998092651 revise 0
please_revise_accordingly 1583624911605 411 222 touchmove 210 159 24.8571434021 26.571432113647 17 revise 0
please_revise_accordingly 1583624911622 411 222 touchmove 210 159 26.571432113647 25.714286804199 70 revise 0
please_revise_accordingly 1583624911638 411 222 touchmove 210 159 28.285715103149 25.714286804199 56 revise 0
please_revise_accordingly 1583624911655 411 222 touchmove 210 158 20.571432113647 34.285717010498 43 revise 0
please_revise_accordingly 1583624911672 411 222 touchmove 209 155 20.571432113647 31.714286804199 56.999996185303 revise 0
please_revise_accordingly 1583624911689 411 222 touchmove 208 152 22.285715103149 29.142860412598 62.999996185303 revise 0
please_revise_accordingly 1583624911707 411 222 touchmove 203 135 21.42857170105 25.714286804199 34 revise 0
please_revise_accordingly 1583624911723 411 222 touchmove 195 120 23.142860412598 26.571432113647 17 revise 0
please_revise_accordingly 1583624911739 411 222 touchmove 189 109 19.714286804199 31.714286804199 50.999996185303 revise 0
please_revise_accordingly 1583624911754 411 222 touchmove 184 102 21.42857170105 28.285715103149 50.999996185303 revise 0
please_revise_accordingly 1583624911772 411 222 touchmove 180 96 19.714286804199 29.142860412598 40 revise 0
please_revise_accordingly 1583624911788 411 222 touchmove 176 91 22.285715103149 29.142860412598 21.999998092651 revise 0
please_revise_accordingly 1583624911805 411 222 touchmove 170 86 19.714286804199 30.8571434021 45 revise 0
please_revise_accordingly 1583624911825 411 222 touchmove 164 80 20.571432113647 28.285715103149 48 revise 0
please_revise_accordingly 1583624911840 411 222 touchmove 156 72 21.42857170105 28.285715103149 25 revise 0
please_revise_accordingly 1583624911856 411 222 touchmove 148 64 19.714286804199 30.8571434021 48 revise 0
please_revise_accordingly 1583624911871 411 222 touchmove 140 56 20.571432113647 27.428575515747 48 revise 0
please_revise_accordingly 1583624911888 411 222 touchmove 133 49 19.714286804199 27.428575515747 34 revise 0
please_revise_accordingly 1583624911905 411 222 touchmove 128 45 22.285715103149 28.285715103149 20 revise 0
please_revise_accordingly 1583624911922 411 222 touchmove 124 41 19.714286804199 32.571434020996 36.999996185303 revise 0
please_revise_accordingly 1583624911939 411 222 touchmove 121 38 20.571432113647 31.714286804199 50.999996185303 revise 0
please_revise_accordingly 1583624911955 411 222 touchmove 117 34 22.285715103149 28.285715103149 56.999996185303 revise 0
please_revise_accordingly 1583624911972 411 222 touchmove 114 29 20.571432113647 28.285715103149 45 revise 0
please_revise_accordingly 1583624911991 411 222 touchmove 111 25 20.571432113647 29.142860412598 36.999996185303 revise 0
please_revise_accordingly 1583624912005 411 222 touchmove 109 23 21.42857170105 29.142860412598 36.999996185303 revise 0
please_revise_accordingly 1583624912023 411 222 touchmove 107 21 23.142860412598 30.000003814697 30.999998092651 revise 0
please_revise_accordingly 1583624912039 411 222 touchmove 107 20 23.142860412598 30.8571434021 30.999998092651 revise 0
please_revise_accordingly 1583624912056 411 222 touchmove 106 20 24.000003814697 30.8571434021 30.999998092651 revise 0
please_revise_accordingly 1583624912073 411 222 touchmove 106 20 24.8571434021 31.714286804199 27.999998092651 revise 0
please_revise_accordingly 1583624912090 411 222 touchmove 106 20 24.8571434021 31.714286804199 27.999998092651 revise 0
please_revise_accordingly 1583624912107 411 222 touchmove 106 20 24.8571434021 30.8571434021 25 revise 0
please_revise_accordingly 1583624912124 411 222 touchmove 106 20 25.714286804199 29.142860412598 21.999998092651 revise 0
please_revise_accordingly 1583624912140 411 222 touchmove 106 21 25.714286804199 29.142860412598 17 revise 0
please_revise_accordingly 1583624912156 411 222 touchmove 106 23 27.428575515747 25.714286804199 79 revise 0
please_revise_accordingly 1583624912172 411 222 touchmove 105 30 25.714286804199 29.142860412598 8 revise 0
please_revise_accordingly 1583624912190 411 222 touchmove 105 37 25.714286804199 24.8571434021 65 revise 0
please_revise_accordingly 1583624912206 411 222 touchmove 103 46 25.714286804199 28.285715103149 17 revise 0
please_revise_accordingly 1583624912223 411 222 touchmove 102 50 25.714286804199 31.714286804199 17 revise 0
please_revise_accordingly 1583624912240 411 222 touchmove 100 58 28.285715103149 24.8571434021 53.000003814697 revise 0
please_revise_accordingly 1583624912259 411 222 touchmove 98 69 25.714286804199 29.142860412598 40 revise 0
please_revise_accordingly 1583624912274 411 222 touchmove 97 76 33.428573608398 24.000003814697 50 revise 0
please_revise_accordingly 1583624912290 411 222 touchmove 96 82 31.714286804199 24.8571434021 42 revise 0
please_revise_accordingly 1583624912306 411 222 touchmove 95 85 30.8571434021 25.714286804199 36.000003814697 revise 0
please_revise_accordingly 1583624912323 411 222 touchmove 94 90 29.142860412598 27.428575515747 13 revise 0
please_revise_accordingly 1583624912340 411 222 touchmove 94 92 27.428575515747 29.142860412598 0 revise 0
please_revise_accordingly 1583624912357 411 222 touchmove 94 96 27.428575515747 30.8571434021 62.999996185303 revise 0
please_revise_accordingly 1583624912373 411 222 touchmove 94 97 27.428575515747 31.714286804199 62.999996185303 revise 0
please_revise_accordingly 1583624912390 411 222 touchmove 93 98 28.285715103149 31.714286804199 62.999996185303 revise 0
please_revise_accordingly 1583624912409 411 222 touchmove 93 98 28.285715103149 30.8571434021 56.999996185303 revise 0
please_revise_accordingly 1583624912425 411 222 touchmove 93 98 28.285715103149 30.8571434021 53.999996185303 revise 0
please_revise_accordingly 1583624912440 411 222 touchmove 94 98 28.285715103149 30.000003814697 50.999996185303 revise 0
please_revise_accordingly 1583624912458 411 222 touchmove 94 98 28.285715103149 30.000003814697 48 revise 0
please_revise_accordingly 1583624912474 411 222 touchmove 94 99 26.571432113647 28.285715103149 43 revise 0
please_revise_accordingly 1583624912490 411 222 touchmove 94 99 24.8571434021 26.571432113647 34 revise 0
please_revise_accordingly 1583624912507 411 222 touchmove 94 99 20.571432113647 22.285715103149 30.999998092651 revise 0
please_revise_accordingly 1583624912519 411 222 touchend 94 99 20.571432113647 22.285715103149 30.999998092651 revise 0
please_revise_accordingly 1583624914519 411 222 touchstart 37 80 18 13.714287757874 82 accordingly 0
please_revise_accordingly 1583624914527 411 222 touchmove 37 80 24.8571434021 18.8571434021 79 accordingly 0
please_revise_accordingly 1583624914545 411 222 touchmove 37 80 27.428575515747 21.42857170105 70 accordingly 0
please_revise_accordingly 1583624914559 411 222 touchmove 37 81 23.142860412598 31.714286804199 36.999996185303 accordingly 0
please_revise_accordingly 1583624914577 411 222 touchmove 41 83 30.000003814697 25.714286804199 39.000003814697 accordingly 0
please_revise_accordingly 1583624914593 411 222 touchmove 48 88 25.714286804199 27.428575515747 25 accordingly 0
please_revise_accordingly 1583624914610 411 222 touchmove 54 92 29.142860412598 28.285715103149 42 accordingly 0
please_revise_accordingly 1583624914626 411 222 touchmove 77 104 25.714286804199 33.428573608398 40 accordingly 0
please_revise_accordingly 1583624914645 411 222 touchmove 90 111 26.571432113647 28.285715103149 25 accordingly 0
please_revise_accordingly 1583624914659 411 222 touchmove 103 118 29.142860412598 27.428575515747 24 accordingly 0
please_revise_accordingly 1583624914677 411 222 touchmove 113 125 24.000003814697 34.285717010498 27.999998092651 accordingly 0
please_revise_accordingly 1583624914697 411 222 touchmove 122 131 23.142860412598 29.142860412598 34 accordingly 0
please_revise_accordingly 1583624914710 411 222 touchmove 132 138 24.000003814697 29.142860412598 48 accordingly 0
