sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
i_was_planning_to_attend 1582246388303 411 243 touchstart 311 35 0.61383926868439 0.61383926868439 0 i 0
i_was_planning_to_attend 1582246388328 411 243 touchmove 310 34 0.69056928157806 0.69056928157806 0 i 0
i_was_planning_to_attend 1582246388345 411 243 touchmove 310 33 0.69056928157806 0.69056928157806 0 i 0
i_was_planning_to_attend 1582246388361 411 243 touchmove 309 33 0.61383926868439 0.61383926868439 0 i 0
i_was_planning_to_attend 1582246388377 411 243 touchmove 309 34 0.61383926868439 0.61383926868439 0 i 0
i_was_planning_to_attend 1582246388382 411 243 touchmove 308 34 0.76729911565781 0.76729911565781 0 i 0
i_was_planning_to_attend 1582246388385 411 243 touchend 308 34 0.76729911565781 0.76729911565781 0 i 0
i_was_planning_to_attend 1582246388581 411 243 touchmove 241 198 0.84402900934219 0.84402900934219 0 was 1
i_was_planning_to_attend 1582246388598 411 243 touchmove 241 198 0.76729911565781 0.76729911565781 0 was 1
i_was_planning_to_attend 1582246388612 411 243 touchmove 240 198 0.76729911565781 0.76729911565781 0 was 1
i_was_planning_to_attend 1582246388628 411 243 touchmove 240 198 0.76729911565781 0.76729911565781 0 was 1
i_was_planning_to_attend 1582246388641 411 243 touchmove 240 197 0.76729911565781 0.76729911565781 0 was 1
i_was_planning_to_attend 1582246388643 411 243 touchend 240 197 0.76729911565781 0.76729911565781 0 was 1
i_was_planning_to_attend 1582246389336 411 243 touchstart 68 28 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389346 411 243 touchmove 68 28 0.92075896263123 0.92075896263123 0 was 0
i_was_planning_to_attend 1582246389363 411 243 touchmove 67 28 0.99748885631561 0.99748885631561 0 was 0
i_was_planning_to_attend 1582246389379 411 243 touchmove 67 28 0.99748885631561 0.99748885631561 0 was 0
i_was_planning_to_attend 1582246389396 411 243 touchmove 66 29 0.92075896263123 0.92075896263123 0 was 0
i_was_planning_to_attend 1582246389413 411 243 touchmove 61 45 0.92075896263123 0.92075896263123 0 was 0
i_was_planning_to_attend 1582246389430 411 243 touchmove 54 62 0.76729911565781 0.76729911565781 0 was 0
i_was_planning_to_attend 1582246389447 411 243 touchmove 49 77 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389464 411 243 touchmove 46 89 0.76729911565781 0.76729911565781 0 was 0
i_was_planning_to_attend 1582246389480 411 243 touchmove 45 94 0.92075896263123 0.92075896263123 0 was 0
i_was_planning_to_attend 1582246389497 411 243 touchmove 47 97 0.99748885631561 0.99748885631561 0 was 0
i_was_planning_to_attend 1582246389513 411 243 touchmove 52 99 0.99748885631561 0.99748885631561 0 was 0
i_was_planning_to_attend 1582246389531 411 243 touchmove 59 100 0.99748885631561 0.99748885631561 0 was 0
i_was_planning_to_attend 1582246389547 411 243 touchmove 66 101 0.92075896263123 0.92075896263123 0 was 0
i_was_planning_to_attend 1582246389564 411 243 touchmove 73 102 0.99748885631561 0.99748885631561 0 was 0
i_was_planning_to_attend 1582246389581 411 243 touchmove 83 102 0.92075896263123 0.92075896263123 0 was 0
i_was_planning_to_attend 1582246389597 411 243 touchmove 97 101 0.92075896263123 0.92075896263123 0 was 0
i_was_planning_to_attend 1582246389613 411 243 touchmove 113 100 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389631 411 243 touchmove 126 100 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389647 411 243 touchmove 136 101 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389668 411 243 touchmove 142 102 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389681 411 243 touchmove 144 102 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389697 411 243 touchmove 145 103 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389714 411 243 touchmove 145 103 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389731 411 243 touchmove 145 103 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389747 411 243 touchmove 144 104 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389765 411 243 touchmove 143 104 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389780 411 243 touchmove 143 104 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389797 411 243 touchmove 142 104 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389814 411 243 touchmove 142 104 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389830 411 243 touchmove 142 104 0.84402900934219 0.84402900934219 0 was 0
i_was_planning_to_attend 1582246389868 411 243 touchmove 142 105 0.76729911565781 0.76729911565781 0 was 0
i_was_planning_to_attend 1582246389875 411 243 touchmove 142 106 0.69056928157806 0.69056928157806 0 was 0
i_was_planning_to_attend 1582246389878 411 243 touchend 142 106 0.69056928157806 0.69056928157806 0 was 0
i_was_planning_to_attend 1582246390224 411 243 touchstart 382 49 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390265 411 243 touchmove 380 52 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390282 411 243 touchmove 380 54 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390299 411 243 touchmove 380 55 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390316 411 243 touchmove 382 64 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390333 411 243 touchmove 383 70 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390350 411 243 touchmove 384 76 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390369 411 243 touchmove 384 83 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390382 411 243 touchmove 385 91 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390399 411 243 touchmove 386 96 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390416 411 243 touchmove 385 99 0.537109375 0.537109375 0 planning 0
i_was_planning_to_attend 1582246390434 411 243 touchmove 382 100 0.61383926868439 0.61383926868439 0 planning 0
i_was_planning_to_attend 1582246390449 411 243 touchmove 376 102 0.61383926868439 0.61383926868439 0 planning 0
i_was_planning_to_attend 1582246390466 411 243 touchmove 370 104 0.69056928157806 0.69056928157806 0 planning 0
i_was_planning_to_attend 1582246390483 411 243 touchmove 363 106 0.76729911565781 0.76729911565781 0 planning 0
i_was_planning_to_attend 1582246390499 411 243 touchmove 356 108 0.76729911565781 0.76729911565781 0 planning 0
i_was_planning_to_attend 1582246390516 411 243 touchmove 346 109 0.69056928157806 0.69056928157806 0 planning 0
i_was_planning_to_attend 1582246390533 411 243 touchmove 334 107 0.76729911565781 0.76729911565781 0 planning 0
i_was_planning_to_attend 1582246390550 411 243 touchmove 318 103 0.76729911565781 0.76729911565781 0 planning 0
i_was_planning_to_attend 1582246390566 411 243 touchmove 299 99 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246390585 411 243 touchmove 281 95 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246390600 411 243 touchmove 260 89 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246390616 411 243 touchmove 236 85 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246390633 411 243 touchmove 213 83 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246390649 411 243 touchmove 184 84 0.99748885631561 0.99748885631561 0 planning 0
i_was_planning_to_attend 1582246390666 411 243 touchmove 154 85 0.99748885631561 0.99748885631561 0 planning 0
i_was_planning_to_attend 1582246390682 411 243 touchmove 124 85 0.99748885631561 0.99748885631561 0 planning 0
i_was_planning_to_attend 1582246390700 411 243 touchmove 95 84 1.07421875 1.07421875 0 planning 0
i_was_planning_to_attend 1582246390716 411 243 touchmove 71 85 0.99748885631561 0.99748885631561 0 planning 0
i_was_planning_to_attend 1582246390733 411 243 touchmove 51 87 0.99748885631561 0.99748885631561 0 planning 0
i_was_planning_to_attend 1582246390750 411 243 touchmove 40 90 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246390766 411 243 touchmove 34 94 0.76729911565781 0.76729911565781 0 planning 0
i_was_planning_to_attend 1582246390783 411 243 touchmove 32 98 0.76729911565781 0.76729911565781 0 planning 0
i_was_planning_to_attend 1582246390800 411 243 touchmove 31 106 0.76729911565781 0.76729911565781 0 planning 0
i_was_planning_to_attend 1582246390817 411 243 touchmove 31 114 0.76729911565781 0.76729911565781 0 planning 0
i_was_planning_to_attend 1582246390833 411 243 touchmove 34 120 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246390850 411 243 touchmove 41 122 0.99748885631561 0.99748885631561 0 planning 0
i_was_planning_to_attend 1582246390867 411 243 touchmove 54 123 1.07421875 1.07421875 0 planning 0
i_was_planning_to_attend 1582246390883 411 243 touchmove 77 124 1.07421875 1.07421875 0 planning 0
i_was_planning_to_attend 1582246390903 411 243 touchmove 102 127 0.99748885631561 0.99748885631561 0 planning 0
i_was_planning_to_attend 1582246390916 411 243 touchmove 128 134 1.07421875 1.07421875 0 planning 0
i_was_planning_to_attend 1582246390933 411 243 touchmove 156 143 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246390950 411 243 touchmove 186 151 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246390966 411 243 touchmove 206 155 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246390985 411 243 touchmove 224 159 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391000 411 243 touchmove 242 164 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391017 411 243 touchmove 254 167 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391034 411 243 touchmove 263 171 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391051 411 243 touchmove 271 173 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391067 411 243 touchmove 280 176 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391084 411 243 touchmove 287 178 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391101 411 243 touchmove 292 179 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391118 411 243 touchmove 295 179 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391134 411 243 touchmove 295 179 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391151 411 243 touchmove 295 178 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391167 411 243 touchmove 294 178 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391184 411 243 touchmove 293 176 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391202 411 243 touchmove 292 174 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391218 411 243 touchmove 290 170 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391235 411 243 touchmove 290 168 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391250 411 243 touchmove 290 162 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391267 411 243 touchmove 291 157 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391284 411 243 touchmove 291 153 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391301 411 243 touchmove 293 148 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391318 411 243 touchmove 294 145 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391336 411 243 touchmove 296 142 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391350 411 243 touchmove 297 141 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391367 411 243 touchmove 297 141 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391384 411 243 touchmove 297 143 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391402 411 243 touchmove 298 146 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391417 411 243 touchmove 297 149 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391435 411 243 touchmove 296 155 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391451 411 243 touchmove 294 165 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391468 411 243 touchmove 293 177 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391484 411 243 touchmove 292 185 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391501 411 243 touchmove 292 188 0.84402900934219 0.84402900934219 0 planning 0
i_was_planning_to_attend 1582246391518 411 243 touchmove 292 189 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391536 411 243 touchmove 291 189 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391552 411 243 touchmove 291 188 0.92075896263123 0.92075896263123 0 planning 0
i_was_planning_to_attend 1582246391568 411 243 touchmove 291 187 0.92075896263123 0.92075896263123 0 planning 0
