sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
do_we_need_to_discuss 1582659259046 411 227 touchstart 138 97 0.92075896263123 0.92075896263123 0 do 0
do_we_need_to_discuss 1582659259065 411 227 touchmove 141 95 0.92075896263123 0.92075896263123 0 do 0
do_we_need_to_discuss 1582659259081 411 227 touchmove 147 92 0.84402900934219 0.84402900934219 0 do 0
do_we_need_to_discuss 1582659259097 411 227 touchmove 180 79 0.76729911565781 0.76729911565781 0 do 0
do_we_need_to_discuss 1582659259114 411 227 touchmove 240 60 0.69056928157806 0.69056928157806 0 do 0
do_we_need_to_discuss 1582659259131 411 227 touchmove 299 45 0.537109375 0.537109375 0 do 0
do_we_need_to_discuss 1582659259147 411 227 touchmove 331 38 0.537109375 0.537109375 0 do 0
do_we_need_to_discuss 1582659259164 411 227 touchmove 344 36 0.537109375 0.537109375 0 do 0
do_we_need_to_discuss 1582659259181 411 227 touchmove 352 34 0.537109375 0.537109375 0 do 0
do_we_need_to_discuss 1582659259198 411 227 touchmove 355 33 0.537109375 0.537109375 0 do 0
do_we_need_to_discuss 1582659259214 411 227 touchmove 356 32 0.537109375 0.537109375 0 do 0
do_we_need_to_discuss 1582659259231 411 227 touchmove 353 29 0.537109375 0.537109375 0 do 0
do_we_need_to_discuss 1582659259248 411 227 touchmove 343 25 0.537109375 0.537109375 0 do 0
do_we_need_to_discuss 1582659259255 411 227 touchend 343 25 0.537109375 0.537109375 0 do 0
do_we_need_to_discuss 1582659259481 411 227 touchmove 77 17 0.92075896263123 0.92075896263123 0 we 0
do_we_need_to_discuss 1582659259498 411 227 touchmove 82 16 0.99748885631561 0.99748885631561 0 we 0
do_we_need_to_discuss 1582659259515 411 227 touchmove 99 11 0.84402900934219 0.84402900934219 0 we 0
do_we_need_to_discuss 1582659259532 411 227 touchmove 113 8 0.92075896263123 0.92075896263123 0 we 0
do_we_need_to_discuss 1582659259550 411 227 touchmove 124 7 0.84402900934219 0.84402900934219 0 we 0
do_we_need_to_discuss 1582659259566 411 227 touchmove 133 6 0.76729911565781 0.76729911565781 0 we 0
do_we_need_to_discuss 1582659259580 411 227 touchmove 138 7 0.76729911565781 0.76729911565781 0 we 0
do_we_need_to_discuss 1582659259582 411 227 touchend 138 7 0.76729911565781 0.76729911565781 0 we 0
do_we_need_to_discuss 1582659259822 411 227 touchstart 271 144 0.537109375 0.537109375 0 need 0
do_we_need_to_discuss 1582659259825 411 227 touchmove 271 144 0.537109375 0.537109375 0 need 0
do_we_need_to_discuss 1582659259833 411 227 touchmove 270 144 0.61383926868439 0.61383926868439 0 need 0
do_we_need_to_discuss 1582659259849 411 227 touchmove 267 142 0.69056928157806 0.69056928157806 0 need 0
do_we_need_to_discuss 1582659259866 411 227 touchmove 262 139 0.69056928157806 0.69056928157806 0 need 0
do_we_need_to_discuss 1582659259883 411 227 touchmove 236 118 0.69056928157806 0.69056928157806 0 need 0
do_we_need_to_discuss 1582659259902 411 227 touchmove 206 95 0.69056928157806 0.69056928157806 0 need 0
do_we_need_to_discuss 1582659259916 411 227 touchmove 180 75 0.76729911565781 0.76729911565781 0 need 0
