sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
just_playing_with_you 1582234924931 360 216 touchstart 249 90 0.7492333650589 0.7492333650589 0 just 0
just_playing_with_you 1582234924942 360 216 touchmove 249 90 0.9989777803421 0.9989777803421 0 just 0
just_playing_with_you 1582234924961 360 216 touchmove 249 90 1.2487221956253 1.2487221956253 0 just 0
just_playing_with_you 1582234925059 360 216 touchmove 249 88 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925077 360 216 touchmove 248 83 1.4984667301178 1.4984667301178 0 just 0
just_playing_with_you 1582234925100 360 216 touchmove 246 77 1.4984667301178 1.4984667301178 0 just 0
just_playing_with_you 1582234925110 360 216 touchmove 245 71 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925127 360 216 touchmove 243 66 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925143 360 216 touchmove 242 60 0.9989777803421 0.9989777803421 0 just 0
just_playing_with_you 1582234925159 360 216 touchmove 240 53 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925177 360 216 touchmove 237 46 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925192 360 216 touchmove 234 40 1.4984667301178 1.4984667301178 0 just 0
just_playing_with_you 1582234925210 360 216 touchmove 232 34 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925226 360 216 touchmove 231 30 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925243 360 216 touchmove 230 26 2.2476999759674 2.2476999759674 0 just 0
just_playing_with_you 1582234925259 360 216 touchmove 229 22 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925276 360 216 touchmove 229 19 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925293 360 216 touchmove 229 17 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925310 360 216 touchmove 229 15 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925326 360 216 touchmove 229 15 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925343 360 216 touchmove 228 15 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925361 360 216 touchmove 227 15 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925377 360 216 touchmove 226 16 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925393 360 216 touchmove 224 17 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925411 360 216 touchmove 221 19 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925428 360 216 touchmove 217 22 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925444 360 216 touchmove 212 26 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925461 360 216 touchmove 206 31 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925477 360 216 touchmove 199 36 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925494 360 216 touchmove 192 42 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925511 360 216 touchmove 184 48 2.2476999759674 2.2476999759674 0 just 0
just_playing_with_you 1582234925528 360 216 touchmove 175 54 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925545 360 216 touchmove 166 60 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925561 360 216 touchmove 157 65 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925578 360 216 touchmove 148 70 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925594 360 216 touchmove 139 74 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925611 360 216 touchmove 130 78 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925627 360 216 touchmove 121 81 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925644 360 216 touchmove 113 84 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925662 360 216 touchmove 109 86 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925677 360 216 touchmove 101 89 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925694 360 216 touchmove 94 91 1.9979555606842 1.9979555606842 0 just 0
just_playing_with_you 1582234925712 360 216 touchmove 86 94 1.748211145401 1.748211145401 0 just 0
just_playing_with_you 1582234925728 360 216 touchmove 81 96 1.9979555606842 1.9979555606842 0 just 0
