sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
lower_consultation_fame_bed 1582732952932 360 199 touchstart 335 86 4 4 0 lower 0
lower_consultation_fame_bed 1582732952962 360 199 touchmove 334 85 4.3333334922791 4.3333334922791 0 lower 0
lower_consultation_fame_bed 1582732952979 360 199 touchmove 333 85 5 5 0 lower 0
lower_consultation_fame_bed 1582732952996 360 199 touchmove 331 85 5.3333334922791 5.3333334922791 0 lower 0
lower_consultation_fame_bed 1582732953012 360 199 touchmove 330 85 6 6 0 lower 0
lower_consultation_fame_bed 1582732953029 360 199 touchmove 328 84 6.3333334922791 6.3333334922791 0 lower 0
lower_consultation_fame_bed 1582732953046 360 199 touchmove 327 84 6.6666669845581 6.6666669845581 0 lower 0
lower_consultation_fame_bed 1582732953062 360 199 touchmove 326 84 7 7 0 lower 0
lower_consultation_fame_bed 1582732953079 360 199 touchmove 324 82 7 7 0 lower 0
lower_consultation_fame_bed 1582732953097 360 199 touchmove 322 78 7 7 0 lower 0
lower_consultation_fame_bed 1582732953112 360 199 touchmove 320 71 7.3333334922791 7.3333334922791 0 lower 0
lower_consultation_fame_bed 1582732953130 360 199 touchmove 318 63 7.6666669845581 7.6666669845581 0 lower 0
lower_consultation_fame_bed 1582732953147 360 199 touchmove 316 57 7.3333334922791 7.3333334922791 0 lower 0
lower_consultation_fame_bed 1582732953162 360 199 touchmove 314 52 7.3333334922791 7.3333334922791 0 lower 0
lower_consultation_fame_bed 1582732953180 360 199 touchmove 313 47 7.3333334922791 7.3333334922791 0 lower 0
lower_consultation_fame_bed 1582732953196 360 199 touchmove 313 44 7 7 0 lower 0
lower_consultation_fame_bed 1582732953213 360 199 touchmove 312 41 7 7 0 lower 0
lower_consultation_fame_bed 1582732953229 360 199 touchmove 311 39 7 7 0 lower 0
lower_consultation_fame_bed 1582732953247 360 199 touchmove 311 37 7 7 0 lower 0
lower_consultation_fame_bed 1582732953265 360 199 touchmove 311 36 7 7 0 lower 0
lower_consultation_fame_bed 1582732953281 360 199 touchmove 311 34 7 7 0 lower 0
lower_consultation_fame_bed 1582732953297 360 199 touchmove 311 33 6.6666669845581 6.6666669845581 0 lower 0
lower_consultation_fame_bed 1582732953349 360 199 touchmove 310 32 6.6666669845581 6.6666669845581 0 lower 0
lower_consultation_fame_bed 1582732953363 360 199 touchmove 309 31 6.6666669845581 6.6666669845581 0 lower 0
lower_consultation_fame_bed 1582732953381 360 199 touchmove 309 32 6.6666669845581 6.6666669845581 0 lower 0
lower_consultation_fame_bed 1582732953397 360 199 touchmove 307 33 6.6666669845581 6.6666669845581 0 lower 0
lower_consultation_fame_bed 1582732953414 360 199 touchmove 302 35 6.6666669845581 6.6666669845581 0 lower 0
lower_consultation_fame_bed 1582732953431 360 199 touchmove 288 39 6.6666669845581 6.6666669845581 0 lower 0
