sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
durable_chicago_raymond_iron 1583595046661 360 223 touchstart 104 97 30 27.5 4 durable 0
durable_chicago_raymond_iron 1583595046698 360 223 touchmove 104 97 32.5 30 59 durable 0
durable_chicago_raymond_iron 1583595046712 360 223 touchmove 104 97 30 27.5 19 durable 0
durable_chicago_raymond_iron 1583595046730 360 223 touchmove 104 97 35 27.5 12 durable 0
durable_chicago_raymond_iron 1583595046747 360 223 touchmove 106 97 35 30 5.0000076293945 durable 0
durable_chicago_raymond_iron 1583595046763 360 223 touchmove 115 93 32.5 30 13 durable 0
durable_chicago_raymond_iron 1583595046779 360 223 touchmove 133 81 32.5 27.5 7 durable 0
durable_chicago_raymond_iron 1583595046797 360 223 touchmove 152 70 32.5 27.5 11.000007629395 durable 0
durable_chicago_raymond_iron 1583595046812 360 223 touchmove 171 58 30 27.5 15 durable 0
durable_chicago_raymond_iron 1583595046828 360 223 touchmove 188 50 32.5 27.5 30 durable 0
durable_chicago_raymond_iron 1583595046847 360 223 touchmove 198 45 30 27.5 32.000003814697 durable 0
durable_chicago_raymond_iron 1583595046862 360 223 touchmove 213 37 30 27.5 20 durable 0
durable_chicago_raymond_iron 1583595046879 360 223 touchmove 222 31 35 27.5 15 durable 0
durable_chicago_raymond_iron 1583595046895 360 223 touchmove 228 28 30 27.5 32.000003814697 durable 0
durable_chicago_raymond_iron 1583595046912 360 223 touchmove 230 27 30 27.5 32.000003814697 durable 0
durable_chicago_raymond_iron 1583595046929 360 223 touchmove 230 27 32.5 27.5 18 durable 0
durable_chicago_raymond_iron 1583595046945 360 223 touchmove 230 26 30 27.5 17.000007629395 durable 0
durable_chicago_raymond_iron 1583595046962 360 223 touchmove 228 24 30 27.5 13 durable 0
durable_chicago_raymond_iron 1583595046979 360 223 touchmove 221 24 35 27.5 13 durable 0
durable_chicago_raymond_iron 1583595046996 360 223 touchmove 209 26 30 27.5 13 durable 0
durable_chicago_raymond_iron 1583595047013 360 223 touchmove 197 31 32.5 30 18 durable 0
durable_chicago_raymond_iron 1583595047029 360 223 touchmove 183 37 35 30 12 durable 0
durable_chicago_raymond_iron 1583595047046 360 223 touchmove 173 41 30 30 14 durable 0
durable_chicago_raymond_iron 1583595047063 360 223 touchmove 167 42 32.5 30 16.000007629395 durable 0
durable_chicago_raymond_iron 1583595047079 360 223 touchmove 161 40 32.5 32.5 19 durable 0
durable_chicago_raymond_iron 1583595047095 360 223 touchmove 154 36 35 27.5 12 durable 0
durable_chicago_raymond_iron 1583595047116 360 223 touchmove 145 31 32.5 30 19 durable 0
durable_chicago_raymond_iron 1583595047129 360 223 touchmove 131 30 35 30 62 durable 0
durable_chicago_raymond_iron 1583595047146 360 223 touchmove 121 33 35 32.5 42 durable 0
durable_chicago_raymond_iron 1583595047162 360 223 touchmove 114 35 35 32.5 40 durable 0
durable_chicago_raymond_iron 1583595047179 360 223 touchmove 108 37 35 32.5 62 durable 0
durable_chicago_raymond_iron 1583595047197 360 223 touchmove 98 41 35 30 27.000003814697 durable 0
durable_chicago_raymond_iron 1583595047212 360 223 touchmove 81 51 37.5 32.5 45 durable 0
durable_chicago_raymond_iron 1583595047229 360 223 touchmove 66 59 37.5 32.5 42 durable 0
durable_chicago_raymond_iron 1583595047245 360 223 touchmove 57 66 37.5 32.5 35 durable 0
durable_chicago_raymond_iron 1583595047262 360 223 touchmove 49 72 40 32.5 38.000003814697 durable 0
durable_chicago_raymond_iron 1583595047283 360 223 touchmove 44 76 40 32.5 39.000003814697 durable 0
durable_chicago_raymond_iron 1583595047295 360 223 touchmove 40 80 37.5 30 49 durable 0
durable_chicago_raymond_iron 1583595047311 360 223 touchmove 38 84 40 32.5 58 durable 0
durable_chicago_raymond_iron 1583595047328 360 223 touchmove 37 88 40 32.5 38.000003814697 durable 0
durable_chicago_raymond_iron 1583595047345 360 223 touchmove 38 94 40 32.5 33.000003814697 durable 0
durable_chicago_raymond_iron 1583595047361 360 223 touchmove 42 99 42.5 32.5 31 durable 0
durable_chicago_raymond_iron 1583595047378 360 223 touchmove 53 104 42.5 32.5 22 durable 0
durable_chicago_raymond_iron 1583595047395 360 223 touchmove 71 108 40 32.5 24 durable 0
durable_chicago_raymond_iron 1583595047411 360 223 touchmove 90 111 40 30 14 durable 0
durable_chicago_raymond_iron 1583595047429 360 223 touchmove 111 115 40 32.5 17.000007629395 durable 0
durable_chicago_raymond_iron 1583595047445 360 223 touchmove 129 120 37.5 32.5 22 durable 0
durable_chicago_raymond_iron 1583595047463 360 223 touchmove 147 124 37.5 32.5 24 durable 0
durable_chicago_raymond_iron 1583595047479 360 223 touchmove 165 126 37.5 32.5 21.000007629395 durable 0
durable_chicago_raymond_iron 1583595047496 360 223 touchmove 183 124 35 30 23.000007629395 durable 0
durable_chicago_raymond_iron 1583595047513 360 223 touchmove 200 119 35 27.5 11.000007629395 durable 0
durable_chicago_raymond_iron 1583595047529 360 223 touchmove 216 115 35 27.5 11.000007629395 durable 0
durable_chicago_raymond_iron 1583595047545 360 223 touchmove 225 115 35 27.5 10 durable 0
durable_chicago_raymond_iron 1583595047562 360 223 touchmove 236 115 35 27.5 13 durable 0
durable_chicago_raymond_iron 1583595047580 360 223 touchmove 248 113 35 27.5 15 durable 0
durable_chicago_raymond_iron 1583595047596 360 223 touchmove 265 106 35 30 25 durable 0
durable_chicago_raymond_iron 1583595047613 360 223 touchmove 279 99 35 27.5 14 durable 0
durable_chicago_raymond_iron 1583595047630 360 223 touchmove 285 95 35 27.5 12 durable 0
durable_chicago_raymond_iron 1583595047645 360 223 touchmove 288 94 35 27.5 13 durable 0
durable_chicago_raymond_iron 1583595047665 360 223 touchmove 289 93 35 27.5 16.000007629395 durable 0
durable_chicago_raymond_iron 1583595047679 360 223 touchmove 290 90 35 30 23.000007629395 durable 0
durable_chicago_raymond_iron 1583595047697 360 223 touchmove 291 86 35 30 22 durable 0
durable_chicago_raymond_iron 1583595047713 360 223 touchmove 289 80 35 27.5 14 durable 0
durable_chicago_raymond_iron 1583595047730 360 223 touchmove 283 74 35 27.5 16.000007629395 durable 0
durable_chicago_raymond_iron 1583595047746 360 223 touchmove 272 68 32.5 27.5 21.000007629395 durable 0
durable_chicago_raymond_iron 1583595047763 360 223 touchmove 256 64 35 27.5 10 durable 0
durable_chicago_raymond_iron 1583595047780 360 223 touchmove 230 65 30 27.5 15 durable 0
durable_chicago_raymond_iron 1583595047796 360 223 touchmove 208 69 32.5 27.5 15 durable 0
durable_chicago_raymond_iron 1583595047813 360 223 touchmove 186 71 32.5 27.5 11.000007629395 durable 0
durable_chicago_raymond_iron 1583595047829 360 223 touchmove 167 70 30 27.5 23.000007629395 durable 0
durable_chicago_raymond_iron 1583595047846 360 223 touchmove 149 68 30 30 17.000007629395 durable 0
durable_chicago_raymond_iron 1583595047865 360 223 touchmove 134 66 32.5 30 9.0000076293945 durable 0
durable_chicago_raymond_iron 1583595047879 360 223 touchmove 121 63 35 32.5 37 durable 0
durable_chicago_raymond_iron 1583595047897 360 223 touchmove 109 62 35 30 53.000003814697 durable 0
durable_chicago_raymond_iron 1583595047912 360 223 touchmove 100 61 35 30 35 durable 0
durable_chicago_raymond_iron 1583595047929 360 223 touchmove 92 62 32.5 30 33.000003814697 durable 0
durable_chicago_raymond_iron 1583595047944 360 223 touchmove 89 62 37.5 32.5 67 durable 0
durable_chicago_raymond_iron 1583595047946 360 223 touchend 89 62 37.5 32.5 67 durable 0
durable_chicago_raymond_iron 1583595049176 360 223 touchstart 149 158 35 27.5 11.000007629395 chicago 0
durable_chicago_raymond_iron 1583595049199 360 223 touchmove 149 158 32.5 27.5 7 chicago 0
durable_chicago_raymond_iron 1583595049218 360 223 touchmove 151 158 32.5 27.5 18 chicago 0
durable_chicago_raymond_iron 1583595049235 360 223 touchmove 154 156 30 27.5 22 chicago 0
durable_chicago_raymond_iron 1583595049247 360 223 touchmove 156 154 30 27.5 21.000007629395 chicago 0
durable_chicago_raymond_iron 1583595049265 360 223 touchmove 157 153 30 27.5 31 chicago 0
