sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
what_do_you_think 1582738687560 360 207 touchstart 58 35 1.25 1.25 0 what 0
what_do_you_think 1582738687683 360 207 touchmove 59 37 2 2 0 what 0
what_do_you_think 1582738687701 360 207 touchmove 69 46 1.75 1.75 0 what 0
what_do_you_think 1582738687713 360 207 touchmove 82 54 1 1 0 what 0
what_do_you_think 1582738687727 360 207 touchmove 89 58 2.5 2.5 0 what 0
what_do_you_think 1582738687741 360 207 touchmove 103 65 1.5 1.5 0 what 0
what_do_you_think 1582738687760 360 207 touchmove 117 71 1.5 1.5 0 what 0
what_do_you_think 1582738687776 360 207 touchmove 131 76 1 1 0 what 0
what_do_you_think 1582738687793 360 207 touchmove 152 81 1.25 1.25 0 what 0
what_do_you_think 1582738687808 360 207 touchmove 159 82 2 2 0 what 0
what_do_you_think 1582738687827 360 207 touchmove 173 83 2 2 0 what 0
what_do_you_think 1582738687842 360 207 touchmove 187 84 0.75 0.75 0 what 0
what_do_you_think 1582738687859 360 207 touchmove 198 84 1.25 1.25 0 what 0
what_do_you_think 1582738687876 360 207 touchmove 206 84 0.5 0.5 0 what 0
what_do_you_think 1582738687892 360 207 touchmove 211 84 0.75 0.75 0 what 0
what_do_you_think 1582738687911 360 207 touchmove 216 84 0.75 0.75 0 what 0
what_do_you_think 1582738687926 360 207 touchmove 221 84 0.5 0.5 0 what 0
what_do_you_think 1582738687946 360 207 touchmove 225 84 1.5 1.5 0 what 0
what_do_you_think 1582738687962 360 207 touchmove 226 84 0.75 0.75 0 what 0
what_do_you_think 1582738687977 360 207 touchmove 227 84 0.75 0.75 0 what 0
what_do_you_think 1582738687993 360 207 touchmove 227 85 1 1 0 what 0
what_do_you_think 1582738688010 360 207 touchmove 227 86 1.25 1.25 0 what 0
what_do_you_think 1582738688028 360 207 touchmove 222 88 1.75 1.75 0 what 0
what_do_you_think 1582738688043 360 207 touchmove 218 90 1.25 1.25 0 what 0
what_do_you_think 1582738688060 360 207 touchmove 202 93 1.75 1.75 0 what 0
what_do_you_think 1582738688076 360 207 touchmove 176 97 1.25 1.25 0 what 0
what_do_you_think 1582738688093 360 207 touchmove 146 100 0.75 0.75 0 what 0
what_do_you_think 1582738688109 360 207 touchmove 114 102 2 2 0 what 0
what_do_you_think 1582738688126 360 207 touchmove 89 104 2.5 2.5 0 what 0
what_do_you_think 1582738688144 360 207 touchmove 70 106 1 1 0 what 0
what_do_you_think 1582738688160 360 207 touchmove 58 108 2 2 0 what 0
what_do_you_think 1582738688175 360 207 touchmove 47 110 1.25 1.25 0 what 0
what_do_you_think 1582738688194 360 207 touchmove 39 113 2.25 2.25 0 what 0
what_do_you_think 1582738688209 360 207 touchmove 34 114 1.25 1.25 0 what 0
what_do_you_think 1582738688227 360 207 touchmove 30 115 1.75 1.75 0 what 0
what_do_you_think 1582738688244 360 207 touchmove 28 115 1.5 1.5 0 what 0
what_do_you_think 1582738688263 360 207 touchmove 28 115 1.25 1.25 0 what 0
what_do_you_think 1582738688277 360 207 touchmove 27 113 2 2 0 what 0
what_do_you_think 1582738688293 360 207 touchmove 27 113 1.75 1.75 0 what 0
what_do_you_think 1582738688309 360 207 touchmove 27 111 1.25 1.25 0 what 0
what_do_you_think 1582738688326 360 207 touchmove 27 108 1.75 1.75 0 what 0
