sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
i_can_return_earlier 1581506003606 360 207 touchstart 278 37 1.75 1.75 0 i 0
i_can_return_earlier 1581506003723 360 207 touchend 278 37 1.75 1.75 0 i 0
i_can_return_earlier 1581506005220 360 207 touchmove 56 108 1.5 1.5 0 can 0
i_can_return_earlier 1581506005236 360 207 touchmove 51 103 1.5 1.5 0 can 0
i_can_return_earlier 1581506005254 360 207 touchmove 47 99 1 1 0 can 0
i_can_return_earlier 1581506005270 360 207 touchmove 44 97 2 2 0 can 0
i_can_return_earlier 1581506005287 360 207 touchmove 42 95 1 1 0 can 0
i_can_return_earlier 1581506005304 360 207 touchmove 41 94 1.75 1.75 0 can 0
i_can_return_earlier 1581506005320 360 207 touchmove 40 93 2.5 2.5 0 can 0
i_can_return_earlier 1581506005337 360 207 touchmove 39 92 2.25 2.25 0 can 0
i_can_return_earlier 1581506005353 360 207 touchmove 40 92 1.25 1.25 0 can 0
i_can_return_earlier 1581506005370 360 207 touchmove 43 93 2 2 0 can 0
i_can_return_earlier 1581506005386 360 207 touchmove 48 95 1.25 1.25 0 can 0
i_can_return_earlier 1581506005403 360 207 touchmove 56 97 1.5 1.5 0 can 0
i_can_return_earlier 1581506005419 360 207 touchmove 69 100 1.75 1.75 0 can 0
i_can_return_earlier 1581506005436 360 207 touchmove 84 104 1.5 1.5 0 can 0
i_can_return_earlier 1581506005453 360 207 touchmove 100 107 1.25 1.25 0 can 0
i_can_return_earlier 1581506005470 360 207 touchmove 115 110 0.75 0.75 0 can 0
i_can_return_earlier 1581506005486 360 207 touchmove 130 112 2.25 2.25 0 can 0
i_can_return_earlier 1581506005503 360 207 touchmove 144 114 1.25 1.25 0 can 0
i_can_return_earlier 1581506005520 360 207 touchmove 157 116 1.5 1.5 0 can 0
i_can_return_earlier 1581506005537 360 207 touchmove 172 119 0.75 0.75 0 can 0
i_can_return_earlier 1581506005556 360 207 touchmove 187 122 1.75 1.75 0 can 0
i_can_return_earlier 1581506005571 360 207 touchmove 200 125 0.5 0.5 0 can 0
i_can_return_earlier 1581506005587 360 207 touchmove 209 127 2 2 0 can 0
i_can_return_earlier 1581506005604 360 207 touchmove 217 130 1 1 0 can 0
i_can_return_earlier 1581506005620 360 207 touchmove 225 133 1.25 1.25 0 can 0
i_can_return_earlier 1581506005637 360 207 touchmove 234 137 2 2 0 can 0
i_can_return_earlier 1581506005654 360 207 touchmove 241 141 1 1 0 can 0
i_can_return_earlier 1581506005671 360 207 touchmove 247 144 2 2 0 can 0
i_can_return_earlier 1581506005687 360 207 touchmove 251 146 1 1 0 can 0
i_can_return_earlier 1581506005704 360 207 touchmove 254 148 2.25 2.25 0 can 0
i_can_return_earlier 1581506005721 360 207 touchmove 256 150 0.75 0.75 0 can 0
i_can_return_earlier 1581506005738 360 207 touchmove 257 151 1.25 1.25 0 can 0
i_can_return_earlier 1581506005754 360 207 touchmove 258 152 1.75 1.75 0 can 0
i_can_return_earlier 1581506005771 360 207 touchmove 259 152 2 2 0 can 0
i_can_return_earlier 1581506005790 360 207 touchmove 261 151 1 1 0 can 0
i_can_return_earlier 1581506005805 360 207 touchmove 262 151 1.25 1.25 0 can 0
i_can_return_earlier 1581506005814 360 207 touchend 262 151 1.25 1.25 0 can 0
i_can_return_earlier 1581506006304 360 207 touchmove 144 36 1.75 1.75 0 return 0
i_can_return_earlier 1581506006332 360 207 touchmove 139 35 1.5 1.5 0 return 0
i_can_return_earlier 1581506006337 360 207 touchmove 137 35 1 1 0 return 0
i_can_return_earlier 1581506006353 360 207 touchmove 130 34 2.75 2.75 0 return 0
i_can_return_earlier 1581506006370 360 207 touchmove 123 33 2 2 0 return 0
i_can_return_earlier 1581506006386 360 207 touchmove 116 33 1.5 1.5 0 return 0
i_can_return_earlier 1581506006404 360 207 touchmove 110 32 1.25 1.25 0 return 0
i_can_return_earlier 1581506006420 360 207 touchmove 105 32 1 1 0 return 0
i_can_return_earlier 1581506006436 360 207 touchmove 101 31 1 1 0 return 0
i_can_return_earlier 1581506006453 360 207 touchmove 98 31 1.5 1.5 0 return 0
i_can_return_earlier 1581506006470 360 207 touchmove 96 30 0.75 0.75 0 return 0
i_can_return_earlier 1581506006486 360 207 touchmove 95 30 1.75 1.75 0 return 0
i_can_return_earlier 1581506006504 360 207 touchmove 94 30 1.75 1.75 0 return 0
i_can_return_earlier 1581506006520 360 207 touchmove 94 30 1.5 1.5 0 return 0
i_can_return_earlier 1581506006536 360 207 touchmove 93 30 1.5 1.5 0 return 0
i_can_return_earlier 1581506006574 360 207 touchmove 95 31 1 1 0 return 0
i_can_return_earlier 1581506006599 360 207 touchmove 99 32 2 2 0 return 0
i_can_return_earlier 1581506006622 360 207 touchmove 102 32 1.5 1.5 0 return 0
i_can_return_earlier 1581506006638 360 207 touchmove 106 32 1.25 1.25 0 return 0
i_can_return_earlier 1581506006655 360 207 touchmove 109 33 2.5 2.5 0 return 0
i_can_return_earlier 1581506006688 360 207 touchmove 118 33 2.25 2.25 0 return 0
i_can_return_earlier 1581506006703 360 207 touchmove 124 34 1.25 1.25 0 return 0
i_can_return_earlier 1581506006719 360 207 touchmove 129 34 1.25 1.25 0 return 0
