sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
diamonds_have_sublimedirectory_ordered 1583088888128 360 230 touchstart 114 110 2.75 2.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888149 360 230 touchmove 114 110 5.75 5.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888163 360 230 touchmove 116 110 8.25 8.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888180 360 230 touchmove 121 108 10.75 10.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888196 360 230 touchmove 130 105 12.75 12.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888213 360 230 touchmove 141 103 14.25 14.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888229 360 230 touchmove 154 101 15.75 15.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888246 360 230 touchmove 170 98 17 17 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888263 360 230 touchmove 184 95 18.25 18.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888280 360 230 touchmove 198 94 19.25 19.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888296 360 230 touchmove 212 93 20 20 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888313 360 230 touchmove 226 93 20.5 20.5 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888330 360 230 touchmove 237 93 21 21 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888346 360 230 touchmove 246 94 21.25 21.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888363 360 230 touchmove 253 95 21.5 21.5 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888380 360 230 touchmove 258 96 21.75 21.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888396 360 230 touchmove 261 98 22 22 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888413 360 230 touchmove 262 100 22.25 22.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888430 360 230 touchmove 261 104 22.25 22.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888446 360 230 touchmove 256 110 22.25 22.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888463 360 230 touchmove 247 117 22.25 22.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888480 360 230 touchmove 234 125 22.5 22.5 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888497 360 230 touchmove 217 132 22.5 22.5 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888513 360 230 touchmove 196 139 22.5 22.5 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888530 360 230 touchmove 174 145 22.5 22.5 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888546 360 230 touchmove 153 149 22.75 22.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888563 360 230 touchmove 133 151 23 23 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888584 360 230 touchmove 115 153 23.25 23.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888596 360 230 touchmove 102 154 23.75 23.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888613 360 230 touchmove 95 155 24.25 24.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888630 360 230 touchmove 92 154 24.75 24.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888647 360 230 touchmove 91 150 25.25 25.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888663 360 230 touchmove 95 141 25.5 25.5 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888679 360 230 touchmove 106 131 25.75 25.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888697 360 230 touchmove 120 120 25.75 25.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888713 360 230 touchmove 136 110 25.75 25.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888730 360 230 touchmove 156 100 25.75 25.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888746 360 230 touchmove 177 94 25.5 25.5 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888763 360 230 touchmove 196 92 25.25 25.25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888780 360 230 touchmove 213 93 25 25 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888797 360 230 touchmove 229 96 24.75 24.75 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888813 360 230 touchmove 241 99 24.5 24.5 0 diamonds 1
diamonds_have_sublimedirectory_ordered 1583088888830 360 230 touchmove 250 102 24.25 24.25 0 diamonds 1
