sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
wednesday_is_definitely_a_hot_chocolate_day 1581448059857 360 223 touchstart 54 44 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448059881 360 223 touchmove 54 44 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448059906 360 223 touchmove 55 43 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448059913 360 223 touchmove 57 42 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448059930 360 223 touchmove 65 36 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448059948 360 223 touchmove 75 30 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448059964 360 223 touchmove 85 27 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448059981 360 223 touchmove 92 26 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448059997 360 223 touchmove 94 26 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448060014 360 223 touchmove 97 29 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448060031 360 223 touchmove 98 37 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448060047 360 223 touchmove 99 46 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448060065 360 223 touchmove 100 56 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448060081 360 223 touchmove 101 65 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448060098 360 223 touchmove 101 70 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448060114 360 223 touchmove 103 78 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448060130 360 223 touchmove 105 86 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448060147 360 223 touchmove 106 89 0 0 0 wednesday 0
wednesday_is_definitely_a_hot_chocolate_day 1581448060173 360 223 touchmove 108 92 0 0 0 wednesday 0
