sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
kering_nikon_belong_documents 1583203351640 411 222 touchstart 332 88 1.1416186094284 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203351668 411 222 touchmove 326 85 1.1416186094284 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203351684 411 222 touchmove 313 81 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203351701 411 222 touchmove 305 79 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203351718 411 222 touchmove 282 73 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203351734 411 222 touchmove 252 67 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203351750 411 222 touchmove 217 62 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203351767 411 222 touchmove 199 59 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203351784 411 222 touchmove 163 52 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203351801 411 222 touchmove 131 44 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203351818 411 222 touchmove 110 36 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203351834 411 222 touchmove 97 28 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203351853 411 222 touchmove 97 28 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203351935 411 222 touchmove 98 28 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203351952 411 222 touchmove 101 27 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203351968 411 222 touchmove 110 27 1.712427854538 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203351985 411 222 touchmove 129 26 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203352004 411 222 touchmove 140 24 1.712427854538 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203352019 411 222 touchmove 165 22 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203352034 411 222 touchmove 190 18 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203352052 411 222 touchmove 215 15 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203352069 411 222 touchmove 226 14 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203352086 411 222 touchmove 249 11 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203352103 411 222 touchmove 269 8 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203352119 411 222 touchmove 286 7 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203352136 411 222 touchmove 292 8 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203352154 411 222 touchmove 292 9 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203352172 411 222 touchmove 292 11 1.4270234107971 1.712427854538 0 kering 0
kering_nikon_belong_documents 1583203352186 411 222 touchmove 293 16 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203352204 411 222 touchmove 292 28 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203352218 411 222 touchmove 290 42 1.4270234107971 1.4270234107971 0 kering 0
kering_nikon_belong_documents 1583203352237 411 222 touchmove 285 68 1.4270234107971 1.712427854538 0 kering 0
