sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
southampton_moments_reach_degree 1580585113222 411 209 touchstart 85 89 27.893732070923 27.893732070923 0 southampton 0
southampton_moments_reach_degree 1580585113239 411 209 touchmove 85 89 27.893732070923 27.893732070923 0 southampton 0
southampton_moments_reach_degree 1580585113256 411 209 touchmove 85 89 27.893732070923 27.893732070923 0 southampton 0
southampton_moments_reach_degree 1580585113272 411 209 touchmove 85 89 27.893732070923 27.893732070923 0 southampton 0
southampton_moments_reach_degree 1580585113289 411 209 touchmove 86 89 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113307 411 209 touchmove 92 88 27.893732070923 27.893732070923 0 southampton 0
southampton_moments_reach_degree 1580585113323 411 209 touchmove 102 87 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113340 411 209 touchmove 115 84 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113357 411 209 touchmove 130 81 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113374 411 209 touchmove 149 78 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113391 411 209 touchmove 168 74 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113407 411 209 touchmove 189 71 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113424 411 209 touchmove 210 67 27.893732070923 27.893732070923 0 southampton 0
southampton_moments_reach_degree 1580585113441 411 209 touchmove 231 63 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113458 411 209 touchmove 251 59 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113474 411 209 touchmove 267 55 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113491 411 209 touchmove 280 52 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113508 411 209 touchmove 291 49 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113525 411 209 touchmove 303 46 35.910289764404 35.910289764404 0 southampton 0
southampton_moments_reach_degree 1580585113541 411 209 touchmove 313 43 35.910289764404 35.910289764404 0 southampton 0
