sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
we_just_need_a_sitter 1580268441805 360 218 touchstart 59 23 2 2 0 we 0
we_just_need_a_sitter 1580268441919 360 218 touchmove 67 24 1.5 1.5 0 we 0
we_just_need_a_sitter 1580268441935 360 218 touchmove 78 26 0.75 0.75 0 we 0
we_just_need_a_sitter 1580268441951 360 218 touchmove 90 28 1.5 1.5 0 we 0
we_just_need_a_sitter 1580268441968 360 218 touchmove 95 28 2.25 2.25 0 we 0
we_just_need_a_sitter 1580268441984 360 218 touchmove 99 29 2.25 2.25 0 we 0
we_just_need_a_sitter 1580268442001 360 218 touchmove 102 29 1.75 1.75 0 we 0
we_just_need_a_sitter 1580268442017 360 218 touchmove 103 29 2 2 0 we 0
we_just_need_a_sitter 1580268442033 360 218 touchmove 104 29 2.25 2.25 0 we 0
we_just_need_a_sitter 1580268442050 360 218 touchmove 104 29 2.5 2.5 0 we 0
we_just_need_a_sitter 1580268442067 360 218 touchmove 103 30 2.5 2.5 0 we 0
we_just_need_a_sitter 1580268442084 360 218 touchmove 103 31 1.25 1.25 0 we 0
we_just_need_a_sitter 1580268442100 360 218 touchmove 102 31 1.25 1.25 0 we 0
we_just_need_a_sitter 1580268442116 360 218 touchmove 102 32 1.25 1.25 0 we 0
we_just_need_a_sitter 1580268442184 360 218 touchmove 101 32 1 1 0 we 0
we_just_need_a_sitter 1580268442567 360 218 touchmove 102 32 1.25 1.25 0 we 0
we_just_need_a_sitter 1580268442617 360 218 touchmove 103 32 1.5 1.5 0 we 0
we_just_need_a_sitter 1580268442634 360 218 touchmove 103 33 1.75 1.75 0 we 0
we_just_need_a_sitter 1580268442641 360 218 touchend 103 33 1.75 1.75 0 we 0
we_just_need_a_sitter 1580268444768 360 218 touchstart 256 93 1.25 1.25 0 just 0
we_just_need_a_sitter 1580268444900 360 218 touchmove 253 85 1.75 1.75 0 just 0
