sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
what_is_in_the_plan 1580853438792 411 240 touchstart 53 29 0.19047619402409 0.19047619402409 0 what 0
what_is_in_the_plan 1580853438831 411 240 touchmove 55 31 0.19047619402409 0.19047619402409 0 what 0
what_is_in_the_plan 1580853438855 411 240 touchmove 63 40 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853438873 411 240 touchmove 82 59 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853438892 411 240 touchmove 120 90 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853438903 411 240 touchmove 133 98 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853438921 411 240 touchmove 160 111 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853438938 411 240 touchmove 186 114 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853438955 411 240 touchmove 206 109 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853438971 411 240 touchmove 221 100 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853438987 411 240 touchmove 237 95 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439004 411 240 touchmove 247 95 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439021 411 240 touchmove 250 95 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439038 411 240 touchmove 250 95 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439055 411 240 touchmove 250 97 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439071 411 240 touchmove 246 103 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439089 411 240 touchmove 229 111 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439105 411 240 touchmove 198 121 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439121 411 240 touchmove 150 126 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439137 411 240 touchmove 99 127 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439153 411 240 touchmove 54 127 0.38095238804817 0.38095238804817 0 what 0
what_is_in_the_plan 1580853439170 411 240 touchmove 25 127 0.38095238804817 0.38095238804817 0 what 0
