sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
i_have_a_request 1583509858447 360 187 touchstart 274 28 0 0 0 i 0
i_have_a_request 1583509858582 360 187 touchend 274 28 0 0 0 i 0
i_have_a_request 1583509860057 360 187 touchstart 221 85 0 0 0 have 0
i_have_a_request 1583509860136 360 187 touchmove 201 85 0 0 0 have 0
i_have_a_request 1583509860150 360 187 touchmove 190 85 0 0 0 have 0
i_have_a_request 1583509860168 360 187 touchmove 180 85 0 0 0 have 0
i_have_a_request 1583509860185 360 187 touchmove 164 86 0 0 0 have 0
i_have_a_request 1583509860202 360 187 touchmove 158 86 0 0 0 have 0
i_have_a_request 1583509860218 360 187 touchmove 140 85 0 0 0 have 0
i_have_a_request 1583509860236 360 187 touchmove 131 84 0 0 0 have 0
i_have_a_request 1583509860253 360 187 touchmove 116 82 0 0 0 have 0
i_have_a_request 1583509860270 360 187 touchmove 107 80 0 0 0 have 0
i_have_a_request 1583509860287 360 187 touchmove 99 79 0 0 0 have 0
i_have_a_request 1583509860304 360 187 touchmove 85 79 0 0 0 have 0
i_have_a_request 1583509860321 360 187 touchmove 80 79 0 0 0 have 0
i_have_a_request 1583509860338 360 187 touchmove 70 80 0 0 0 have 0
i_have_a_request 1583509860355 360 187 touchmove 65 81 0 0 0 have 0
i_have_a_request 1583509860373 360 187 touchmove 54 83 0 0 0 have 0
i_have_a_request 1583509860389 360 187 touchmove 48 84 0 0 0 have 0
i_have_a_request 1583509860407 360 187 touchmove 42 85 0 0 0 have 0
i_have_a_request 1583509860424 360 187 touchmove 38 87 0 0 0 have 0
i_have_a_request 1583509860441 360 187 touchmove 36 87 0 0 0 have 0
i_have_a_request 1583509860458 360 187 touchmove 35 88 0 0 0 have 0
i_have_a_request 1583509860474 360 187 touchmove 34 88 0 0 0 have 0
i_have_a_request 1583509860492 360 187 touchmove 33 89 0 0 0 have 0
i_have_a_request 1583509860509 360 187 touchmove 33 89 0 0 0 have 0
i_have_a_request 1583509860526 360 187 touchmove 33 89 0 0 0 have 0
i_have_a_request 1583509860543 360 187 touchmove 32 89 0 0 0 have 0
i_have_a_request 1583509860574 360 187 touchmove 34 89 0 0 0 have 0
i_have_a_request 1583509860594 360 187 touchmove 39 90 0 0 0 have 0
i_have_a_request 1583509860612 360 187 touchmove 47 90 0 0 0 have 0
i_have_a_request 1583509860628 360 187 touchmove 51 91 0 0 0 have 0
i_have_a_request 1583509860646 360 187 touchmove 59 92 0 0 0 have 0
i_have_a_request 1583509860663 360 187 touchmove 64 93 0 0 0 have 0
i_have_a_request 1583509860680 360 187 touchmove 67 94 0 0 0 have 0
i_have_a_request 1583509860697 360 187 touchmove 75 96 0 0 0 have 0
i_have_a_request 1583509860714 360 187 touchmove 82 97 0 0 0 have 0
i_have_a_request 1583509860731 360 187 touchmove 95 100 0 0 0 have 0
i_have_a_request 1583509860749 360 187 touchmove 100 102 0 0 0 have 0
i_have_a_request 1583509860765 360 187 touchmove 113 105 0 0 0 have 0
i_have_a_request 1583509860782 360 187 touchmove 121 106 0 0 0 have 0
i_have_a_request 1583509860800 360 187 touchmove 128 107 0 0 0 have 0
i_have_a_request 1583509860816 360 187 touchmove 140 111 0 0 0 have 0
i_have_a_request 1583509860833 360 187 touchmove 144 113 0 0 0 have 0
i_have_a_request 1583509860850 360 187 touchmove 151 117 0 0 0 have 0
i_have_a_request 1583509860868 360 187 touchmove 154 118 0 0 0 have 0
i_have_a_request 1583509860884 360 187 touchmove 158 121 0 0 0 have 0
i_have_a_request 1583509860902 360 187 touchmove 160 122 0 0 0 have 0
i_have_a_request 1583509860919 360 187 touchmove 161 123 0 0 0 have 0
i_have_a_request 1583509860936 360 187 touchmove 163 125 0 0 0 have 0
i_have_a_request 1583509860953 360 187 touchmove 164 125 0 0 0 have 0
i_have_a_request 1583509860970 360 187 touchmove 165 126 0 0 0 have 0
i_have_a_request 1583509860987 360 187 touchmove 165 126 0 0 0 have 0
i_have_a_request 1583509861004 360 187 touchmove 166 127 0 0 0 have 0
i_have_a_request 1583509861021 360 187 touchmove 166 127 0 0 0 have 0
i_have_a_request 1583509861041 360 187 touchmove 167 128 0 0 0 have 0
i_have_a_request 1583509861056 360 187 touchmove 167 128 0 0 0 have 0
i_have_a_request 1583509861072 360 187 touchmove 168 128 0 0 0 have 0
i_have_a_request 1583509861089 360 187 touchmove 169 129 0 0 0 have 0
i_have_a_request 1583509861106 360 187 touchmove 171 130 0 0 0 have 0
i_have_a_request 1583509861123 360 187 touchmove 173 130 0 0 0 have 0
i_have_a_request 1583509861140 360 187 touchmove 173 131 0 0 0 have 0
i_have_a_request 1583509861158 360 187 touchmove 174 131 0 0 0 have 0
i_have_a_request 1583509861174 360 187 touchmove 175 131 0 0 0 have 0
i_have_a_request 1583509861192 360 187 touchmove 175 132 0 0 0 have 0
i_have_a_request 1583509861209 360 187 touchmove 176 132 0 0 0 have 0
i_have_a_request 1583509861226 360 187 touchmove 176 132 0 0 0 have 0
i_have_a_request 1583509861243 360 187 touchmove 177 132 0 0 0 have 0
i_have_a_request 1583509861260 360 187 touchmove 177 133 0 0 0 have 0
i_have_a_request 1583509861277 360 187 touchmove 177 133 0 0 0 have 0
i_have_a_request 1583509861294 360 187 touchmove 178 133 0 0 0 have 0
i_have_a_request 1583509861313 360 187 touchmove 176 130 0 0 0 have 0
i_have_a_request 1583509861328 360 187 touchmove 169 122 0 0 0 have 0
i_have_a_request 1583509861346 360 187 touchmove 163 116 0 0 0 have 0
i_have_a_request 1583509861362 360 187 touchmove 150 101 0 0 0 have 0
i_have_a_request 1583509861379 360 187 touchmove 144 94 0 0 0 have 0
i_have_a_request 1583509861396 360 187 touchmove 134 81 0 0 0 have 0
i_have_a_request 1583509861413 360 187 touchmove 126 71 0 0 0 have 0
i_have_a_request 1583509861430 360 187 touchmove 119 61 0 0 0 have 0
i_have_a_request 1583509861447 360 187 touchmove 103 42 0 0 0 have 0
i_have_a_request 1583509861464 360 187 touchmove 96 35 0 0 0 have 0
i_have_a_request 1583509861481 360 187 touchmove 87 26 0 0 0 have 0
i_have_a_request 1583509861498 360 187 touchmove 84 22 0 0 0 have 0
i_have_a_request 1583509861516 360 187 touchmove 81 18 0 0 0 have 0
i_have_a_request 1583509861532 360 187 touchmove 80 17 0 0 0 have 0
i_have_a_request 1583509861550 360 187 touchmove 79 16 0 0 0 have 0
i_have_a_request 1583509861567 360 187 touchmove 78 15 0 0 0 have 0
i_have_a_request 1583509861584 360 187 touchmove 78 15 0 0 0 have 0
i_have_a_request 1583509861601 360 187 touchmove 78 9 0 0 0 have 0
i_have_a_request 1583509861611 360 187 touchend 78 9 0 0 0 have 0
i_have_a_request 1583509862738 360 187 touchstart 39 82 0 0 0 a 0
i_have_a_request 1583509862830 360 187 touchend 39 82 0 0 0 a 0
i_have_a_request 1583509863964 360 187 touchstart 124 31 0 0 0 request 0
i_have_a_request 1583509864110 360 187 touchmove 118 30 0 0 0 request 0
i_have_a_request 1583509864127 360 187 touchmove 114 29 0 0 0 request 0
i_have_a_request 1583509864143 360 187 touchmove 107 27 0 0 0 request 0
i_have_a_request 1583509864161 360 187 touchmove 103 26 0 0 0 request 0
i_have_a_request 1583509864178 360 187 touchmove 100 26 0 0 0 request 0
i_have_a_request 1583509864195 360 187 touchmove 99 25 0 0 0 request 0
i_have_a_request 1583509864212 360 187 touchmove 97 25 0 0 0 request 0
i_have_a_request 1583509864229 360 187 touchmove 97 25 0 0 0 request 0
i_have_a_request 1583509864247 360 187 touchmove 96 25 0 0 0 request 0
i_have_a_request 1583509864263 360 187 touchmove 95 25 0 0 0 request 0
i_have_a_request 1583509864280 360 187 touchmove 95 25 0 0 0 request 0
i_have_a_request 1583509864298 360 187 touchmove 94 25 0 0 0 request 0
i_have_a_request 1583509864315 360 187 touchmove 93 27 0 0 0 request 0
i_have_a_request 1583509864332 360 187 touchmove 92 32 0 0 0 request 0
i_have_a_request 1583509864349 360 187 touchmove 92 35 0 0 0 request 0
i_have_a_request 1583509864366 360 187 touchmove 92 37 0 0 0 request 0
i_have_a_request 1583509864383 360 187 touchmove 94 42 0 0 0 request 0
i_have_a_request 1583509864400 360 187 touchmove 95 44 0 0 0 request 0
i_have_a_request 1583509864417 360 187 touchmove 96 47 0 0 0 request 0
i_have_a_request 1583509864434 360 187 touchmove 97 48 0 0 0 request 0
i_have_a_request 1583509864451 360 187 touchmove 100 51 0 0 0 request 0
i_have_a_request 1583509864468 360 187 touchmove 103 53 0 0 0 request 0
i_have_a_request 1583509864486 360 187 touchmove 105 56 0 0 0 request 0
i_have_a_request 1583509864502 360 187 touchmove 112 60 0 0 0 request 0
i_have_a_request 1583509864520 360 187 touchmove 115 62 0 0 0 request 0
i_have_a_request 1583509864537 360 187 touchmove 122 67 0 0 0 request 0
i_have_a_request 1583509864554 360 187 touchmove 125 70 0 0 0 request 0
i_have_a_request 1583509864571 360 187 touchmove 132 75 0 0 0 request 0
i_have_a_request 1583509864588 360 187 touchmove 135 78 0 0 0 request 0
i_have_a_request 1583509864605 360 187 touchmove 143 83 0 0 0 request 0
i_have_a_request 1583509864622 360 187 touchmove 145 84 0 0 0 request 0
i_have_a_request 1583509864639 360 187 touchmove 147 85 0 0 0 request 0
i_have_a_request 1583509864656 360 187 touchmove 152 89 0 0 0 request 0
i_have_a_request 1583509864673 360 187 touchmove 153 89 0 0 0 request 0
i_have_a_request 1583509864690 360 187 touchmove 157 91 0 0 0 request 0
i_have_a_request 1583509864707 360 187 touchmove 157 91 0 0 0 request 0
i_have_a_request 1583509864725 360 187 touchmove 160 92 0 0 0 request 0
i_have_a_request 1583509864741 360 187 touchmove 161 92 0 0 0 request 0
i_have_a_request 1583509864759 360 187 touchmove 162 93 0 0 0 request 0
i_have_a_request 1583509864776 360 187 touchmove 162 93 0 0 0 request 0
i_have_a_request 1583509864793 360 187 touchmove 163 93 0 0 0 request 0
i_have_a_request 1583509864810 360 187 touchmove 164 93 0 0 0 request 0
i_have_a_request 1583509864827 360 187 touchmove 164 94 0 0 0 request 0
i_have_a_request 1583509864844 360 187 touchmove 165 94 0 0 0 request 0
i_have_a_request 1583509864861 360 187 touchmove 165 94 0 0 0 request 0
i_have_a_request 1583509864883 360 187 touchmove 165 94 0 0 0 request 0
