sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
i_sent_it_to_her 1583712506570 360 239 touchstart 263 47 1.4984912872314 1.4984912872314 0 i 0
i_sent_it_to_her 1583712506599 360 239 touchmove 263 47 0.74924564361572 0.74924564361572 0 i 0
i_sent_it_to_her 1583712506615 360 239 touchend 263 47 0.74924564361572 0.74924564361572 0 i 0
i_sent_it_to_her 1583712506997 360 239 touchstart 73 116 1.4984912872314 1.4984912872314 0 sent 0
i_sent_it_to_her 1583712507062 360 239 touchmove 73 115 1.4984912872314 1.4984912872314 0 sent 0
i_sent_it_to_her 1583712507078 360 239 touchmove 74 111 1.9979884624481 1.9979884624481 0 sent 0
i_sent_it_to_her 1583712507096 360 239 touchmove 76 101 1.4984912872314 1.4984912872314 0 sent 0
i_sent_it_to_her 1583712507112 360 239 touchmove 81 83 1.9979884624481 1.9979884624481 0 sent 0
i_sent_it_to_her 1583712507129 360 239 touchmove 87 66 1.7482398748398 1.7482398748398 0 sent 0
i_sent_it_to_her 1583712507145 360 239 touchmove 91 54 1.7482398748398 1.7482398748398 0 sent 0
i_sent_it_to_her 1583712507163 360 239 touchmove 94 46 2.2477369308472 2.2477369308472 0 sent 0
i_sent_it_to_her 1583712507178 360 239 touchmove 97 41 2.2477369308472 2.2477369308472 0 sent 0
i_sent_it_to_her 1583712507195 360 239 touchmove 98 38 2.2477369308472 2.2477369308472 0 sent 0
i_sent_it_to_her 1583712507212 360 239 touchmove 100 36 2.2477369308472 2.2477369308472 0 sent 0
i_sent_it_to_her 1583712507228 360 239 touchmove 101 35 1.7482398748398 1.7482398748398 0 sent 0
i_sent_it_to_her 1583712507245 360 239 touchmove 103 35 1.4984912872314 1.4984912872314 0 sent 0
i_sent_it_to_her 1583712507261 360 239 touchmove 107 37 1.7482398748398 1.7482398748398 0 sent 0
i_sent_it_to_her 1583712507278 360 239 touchmove 115 42 1.7482398748398 1.7482398748398 0 sent 0
i_sent_it_to_her 1583712507295 360 239 touchmove 127 53 1.9979884624481 1.9979884624481 0 sent 0
i_sent_it_to_her 1583712507311 360 239 touchmove 143 66 1.4984912872314 1.4984912872314 0 sent 0
i_sent_it_to_her 1583712507329 360 239 touchmove 161 82 1.7482398748398 1.7482398748398 0 sent 0
i_sent_it_to_her 1583712507345 360 239 touchmove 180 97 1.7482398748398 1.7482398748398 0 sent 0
i_sent_it_to_her 1583712507362 360 239 touchmove 198 112 1.4984912872314 1.4984912872314 0 sent 0
i_sent_it_to_her 1583712507378 360 239 touchmove 213 125 1.7482398748398 1.7482398748398 0 sent 0
i_sent_it_to_her 1583712507395 360 239 touchmove 224 136 1.9979884624481 1.9979884624481 0 sent 0
i_sent_it_to_her 1583712507412 360 239 touchmove 232 145 1.4984912872314 1.4984912872314 0 sent 0
i_sent_it_to_her 1583712507428 360 239 touchmove 236 150 1.4984912872314 1.4984912872314 0 sent 0
i_sent_it_to_her 1583712507445 360 239 touchmove 241 160 1.7482398748398 1.7482398748398 0 sent 0
i_sent_it_to_her 1583712507461 360 239 touchmove 243 164 1.7482398748398 1.7482398748398 0 sent 0
i_sent_it_to_her 1583712507478 360 239 touchmove 244 167 1.4984912872314 1.4984912872314 0 sent 0
