sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
away_sm_bookmarks_prevent 1580699880140 360 220 touchstart 35 90 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699880281 360 220 touchmove 36 87 1.25 1.25 0 away 0
away_sm_bookmarks_prevent 1580699880297 360 220 touchmove 42 72 1.25 1.25 0 away 0
away_sm_bookmarks_prevent 1580699880313 360 220 touchmove 48 53 2 2 0 away 0
away_sm_bookmarks_prevent 1580699880330 360 220 touchmove 51 43 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699880346 360 220 touchmove 53 37 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699880363 360 220 touchmove 53 36 1.25 1.25 0 away 0
away_sm_bookmarks_prevent 1580699880380 360 220 touchmove 54 35 2.5 2.5 0 away 0
away_sm_bookmarks_prevent 1580699880396 360 220 touchmove 54 34 2.25 2.25 0 away 0
away_sm_bookmarks_prevent 1580699880413 360 220 touchmove 54 34 2.25 2.25 0 away 0
away_sm_bookmarks_prevent 1580699880429 360 220 touchmove 54 33 2 2 0 away 0
away_sm_bookmarks_prevent 1580699880446 360 220 touchmove 54 32 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699880462 360 220 touchmove 54 31 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699880479 360 220 touchmove 54 30 1.25 1.25 0 away 0
away_sm_bookmarks_prevent 1580699880496 360 220 touchmove 54 30 2.5 2.5 0 away 0
away_sm_bookmarks_prevent 1580699880513 360 220 touchmove 54 29 2.25 2.25 0 away 0
away_sm_bookmarks_prevent 1580699880529 360 220 touchmove 54 28 2 2 0 away 0
away_sm_bookmarks_prevent 1580699880546 360 220 touchmove 54 28 2 2 0 away 0
away_sm_bookmarks_prevent 1580699880562 360 220 touchmove 54 27 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699880579 360 220 touchmove 54 27 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699880596 360 220 touchmove 54 26 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699880729 360 220 touchmove 53 28 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699880746 360 220 touchmove 50 31 0.75 0.75 0 away 0
away_sm_bookmarks_prevent 1580699880762 360 220 touchmove 47 38 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699880780 360 220 touchmove 44 44 2.5 2.5 0 away 0
away_sm_bookmarks_prevent 1580699880796 360 220 touchmove 41 52 1 1 0 away 0
away_sm_bookmarks_prevent 1580699880815 360 220 touchmove 37 63 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699880832 360 220 touchmove 35 67 0.75 0.75 0 away 0
away_sm_bookmarks_prevent 1580699880848 360 220 touchmove 33 77 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699880864 360 220 touchmove 32 83 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699880880 360 220 touchmove 31 86 1 1 0 away 0
away_sm_bookmarks_prevent 1580699880898 360 220 touchmove 31 90 0.75 0.75 0 away 0
away_sm_bookmarks_prevent 1580699880913 360 220 touchmove 31 92 1.25 1.25 0 away 0
away_sm_bookmarks_prevent 1580699880931 360 220 touchmove 31 94 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699880947 360 220 touchmove 31 96 1 1 0 away 0
away_sm_bookmarks_prevent 1580699880969 360 220 touchmove 31 98 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699880982 360 220 touchmove 31 99 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699880998 360 220 touchmove 31 100 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699881013 360 220 touchmove 31 100 0.75 0.75 0 away 0
away_sm_bookmarks_prevent 1580699881040 360 220 touchmove 32 100 2 2 0 away 0
away_sm_bookmarks_prevent 1580699881063 360 220 touchmove 33 99 2.25 2.25 0 away 0
away_sm_bookmarks_prevent 1580699881079 360 220 touchmove 37 98 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699881096 360 220 touchmove 40 97 0.75 0.75 0 away 0
away_sm_bookmarks_prevent 1580699881112 360 220 touchmove 43 95 1.25 1.25 0 away 0
away_sm_bookmarks_prevent 1580699881129 360 220 touchmove 48 92 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699881146 360 220 touchmove 57 86 1.25 1.25 0 away 0
away_sm_bookmarks_prevent 1580699881254 360 220 touchmove 155 50 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699881265 360 220 touchmove 163 47 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699881280 360 220 touchmove 167 46 1 1 0 away 0
away_sm_bookmarks_prevent 1580699881296 360 220 touchmove 175 46 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699881313 360 220 touchmove 184 48 2 2 0 away 0
away_sm_bookmarks_prevent 1580699881329 360 220 touchmove 189 48 2 2 0 away 0
away_sm_bookmarks_prevent 1580699881346 360 220 touchmove 199 46 1.5 1.5 0 away 0
away_sm_bookmarks_prevent 1580699881362 360 220 touchmove 207 44 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699881379 360 220 touchmove 211 42 1.25 1.25 0 away 0
away_sm_bookmarks_prevent 1580699881396 360 220 touchmove 215 41 1.75 1.75 0 away 0
away_sm_bookmarks_prevent 1580699881413 360 220 touchmove 216 40 0.75 0.75 0 away 0
away_sm_bookmarks_prevent 1580699881429 360 220 touchmove 217 40 0.75 0.75 0 away 0
