sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
psychiatry_writers_wilmar_medicine 1582649918456 423 228 touchstart 413 31 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918583 423 228 touchmove 405 31 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918596 423 228 touchmove 401 31 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918613 423 228 touchmove 394 31 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918629 423 228 touchmove 391 31 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918649 423 228 touchmove 384 31 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918664 423 228 touchmove 379 31 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918681 423 228 touchmove 368 33 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918696 423 228 touchmove 360 34 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918713 423 228 touchmove 346 37 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918729 423 228 touchmove 339 38 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918746 423 228 touchmove 326 41 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918763 423 228 touchmove 319 43 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918779 423 228 touchmove 301 48 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918795 423 228 touchmove 290 52 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918812 423 228 touchmove 280 56 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918829 423 228 touchmove 257 66 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918846 423 228 touchmove 234 75 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918862 423 228 touchmove 223 79 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918880 423 228 touchmove 212 83 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918896 423 228 touchmove 191 91 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918913 423 228 touchmove 182 94 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918929 423 228 touchmove 166 102 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918946 423 228 touchmove 159 105 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918963 423 228 touchmove 148 111 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918980 423 228 touchmove 145 112 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649918996 423 228 touchmove 137 116 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919014 423 228 touchmove 132 118 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919032 423 228 touchmove 123 121 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919048 423 228 touchmove 119 123 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919063 423 228 touchmove 110 125 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919082 423 228 touchmove 107 126 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919096 423 228 touchmove 101 127 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919113 423 228 touchmove 99 127 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919131 423 228 touchmove 96 127 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919149 423 228 touchmove 94 127 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919162 423 228 touchmove 93 126 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919180 423 228 touchmove 92 126 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919249 423 228 touchmove 92 126 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919265 423 228 touchmove 92 125 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919281 423 228 touchmove 92 124 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919297 423 228 touchmove 92 121 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919314 423 228 touchmove 93 117 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919332 423 228 touchmove 97 108 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919348 423 228 touchmove 99 104 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919364 423 228 touchmove 104 95 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919383 423 228 touchmove 107 90 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919399 423 228 touchmove 112 84 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919414 423 228 touchmove 114 81 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919431 423 228 touchmove 119 76 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919448 423 228 touchmove 122 74 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919465 423 228 touchmove 124 73 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919481 423 228 touchmove 130 70 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919498 423 228 touchmove 134 68 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919514 423 228 touchmove 147 63 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919531 423 228 touchmove 158 60 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919548 423 228 touchmove 181 55 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919565 423 228 touchmove 191 52 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919580 423 228 touchmove 207 49 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919599 423 228 touchmove 212 48 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919614 423 228 touchmove 223 45 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919631 423 228 touchmove 224 45 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919648 423 228 touchmove 231 41 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919664 423 228 touchmove 234 40 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919684 423 228 touchmove 240 36 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919699 423 228 touchmove 242 34 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919716 423 228 touchmove 246 30 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919734 423 228 touchmove 248 28 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919748 423 228 touchmove 250 25 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919765 423 228 touchmove 252 23 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919781 423 228 touchmove 252 22 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919799 423 228 touchmove 252 21 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919815 423 228 touchmove 252 20 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919886 423 228 touchmove 252 20 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919899 423 228 touchmove 248 24 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919917 423 228 touchmove 244 28 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919931 423 228 touchmove 236 37 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919949 423 228 touchmove 229 46 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919964 423 228 touchmove 225 51 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919982 423 228 touchmove 223 56 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649919998 423 228 touchmove 217 63 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649920016 423 228 touchmove 215 66 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649920033 423 228 touchmove 211 74 0 0 0 psychiatry 0
psychiatry_writers_wilmar_medicine 1582649920050 423 228 touchmove 208 79 0 0 0 psychiatry 0
