sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
re_monster_read_crucial 1582048898656 411 240 touchstart 323 30 0.46037948131561 0.46037948131561 0 re 1
re_monster_read_crucial 1582048898675 411 240 touchmove 322 30 0.46037948131561 0.46037948131561 0 re 1
re_monster_read_crucial 1582048898691 411 240 touchmove 321 30 0.537109375 0.537109375 0 re 1
re_monster_read_crucial 1582048898709 411 240 touchmove 321 30 0.46037948131561 0.46037948131561 0 re 1
re_monster_read_crucial 1582048898725 411 240 touchmove 320 30 0.3836495578289 0.3836495578289 0 re 1
re_monster_read_crucial 1582048898742 411 240 touchmove 321 30 0.46037948131561 0.46037948131561 0 re 1
re_monster_read_crucial 1582048898749 411 240 touchend 321 30 0.46037948131561 0.46037948131561 0 re 1
re_monster_read_crucial 1582048900619 411 240 touchstart 383 148 0.3836495578289 0.3836495578289 0 re 1
re_monster_read_crucial 1582048900643 411 240 touchmove 383 148 0.3836495578289 0.3836495578289 0 re 1
re_monster_read_crucial 1582048900651 411 240 touchend 383 148 0.3836495578289 0.3836495578289 0 re 1
re_monster_read_crucial 1582048901479 411 240 touchstart 142 49 0.46037948131561 0.46037948131561 0 re 0
re_monster_read_crucial 1582048901492 411 240 touchmove 142 48 0.537109375 0.537109375 0 re 0
re_monster_read_crucial 1582048901509 411 240 touchmove 141 47 0.537109375 0.537109375 0 re 0
re_monster_read_crucial 1582048901526 411 240 touchmove 140 46 0.537109375 0.537109375 0 re 0
re_monster_read_crucial 1582048901543 411 240 touchmove 139 44 0.537109375 0.537109375 0 re 0
re_monster_read_crucial 1582048901559 411 240 touchmove 134 42 0.537109375 0.537109375 0 re 0
re_monster_read_crucial 1582048901576 411 240 touchmove 127 39 0.46037948131561 0.46037948131561 0 re 0
re_monster_read_crucial 1582048901592 411 240 touchmove 121 38 0.537109375 0.537109375 0 re 0
re_monster_read_crucial 1582048901610 411 240 touchmove 114 36 0.537109375 0.537109375 0 re 0
re_monster_read_crucial 1582048901626 411 240 touchmove 106 35 0.46037948131561 0.46037948131561 0 re 0
re_monster_read_crucial 1582048901643 411 240 touchmove 100 34 0.46037948131561 0.46037948131561 0 re 0
re_monster_read_crucial 1582048901659 411 240 touchmove 97 35 0.537109375 0.537109375 0 re 0
re_monster_read_crucial 1582048901666 411 240 touchend 97 35 0.537109375 0.537109375 0 re 0
re_monster_read_crucial 1582048902669 411 240 touchstart 337 161 0.3836495578289 0.3836495578289 0 monster 0
re_monster_read_crucial 1582048902692 411 240 touchmove 337 160 0.3836495578289 0.3836495578289 0 monster 0
re_monster_read_crucial 1582048902709 411 240 touchmove 337 158 0.46037948131561 0.46037948131561 0 monster 0
re_monster_read_crucial 1582048902726 411 240 touchmove 338 149 0.3836495578289 0.3836495578289 0 monster 0
re_monster_read_crucial 1582048902743 411 240 touchmove 339 131 0.46037948131561 0.46037948131561 0 monster 0
re_monster_read_crucial 1582048902759 411 240 touchmove 340 112 0.46037948131561 0.46037948131561 0 monster 0
re_monster_read_crucial 1582048902776 411 240 touchmove 340 89 0.46037948131561 0.46037948131561 0 monster 0
re_monster_read_crucial 1582048902793 411 240 touchmove 339 66 0.3836495578289 0.3836495578289 0 monster 0
