sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
economic_aged_air_badly 1581025630908 360 220 touchstart 85 34 1.5 1.5 0 economic 0
economic_aged_air_badly 1581025630929 360 220 touchmove 85 34 4.25 4.25 0 economic 0
economic_aged_air_badly 1581025630945 360 220 touchmove 85 34 6.75 6.75 0 economic 0
economic_aged_air_badly 1581025630961 360 220 touchmove 85 34 9 9 0 economic 0
economic_aged_air_badly 1581025630978 360 220 touchmove 86 34 11 11 0 economic 0
economic_aged_air_badly 1581025630998 360 220 touchmove 87 35 12.75 12.75 0 economic 0
economic_aged_air_badly 1581025631012 360 220 touchmove 89 37 14.25 14.25 0 economic 0
economic_aged_air_badly 1581025631028 360 220 touchmove 92 42 15.5 15.5 0 economic 0
economic_aged_air_badly 1581025631045 360 220 touchmove 98 49 16.75 16.75 0 economic 0
economic_aged_air_badly 1581025631061 360 220 touchmove 105 58 17.75 17.75 0 economic 0
economic_aged_air_badly 1581025631078 360 220 touchmove 113 68 18.75 18.75 0 economic 0
economic_aged_air_badly 1581025631095 360 220 touchmove 122 79 19.5 19.5 0 economic 0
economic_aged_air_badly 1581025631112 360 220 touchmove 130 91 20.25 20.25 0 economic 0
economic_aged_air_badly 1581025631128 360 220 touchmove 136 102 21 21 0 economic 0
economic_aged_air_badly 1581025631318 360 220 touchmove 155 142 25.25 25.25 0 economic 0
economic_aged_air_badly 1581025631329 360 220 touchmove 157 144 25.25 25.25 0 economic 0
economic_aged_air_badly 1581025631345 360 220 touchmove 159 145 25.25 25.25 0 economic 0
economic_aged_air_badly 1581025631363 360 220 touchmove 163 146 25.5 25.5 0 economic 0
economic_aged_air_badly 1581025631379 360 220 touchmove 170 142 25.5 25.5 0 economic 0
economic_aged_air_badly 1581025631396 360 220 touchmove 179 136 25.5 25.5 0 economic 0
economic_aged_air_badly 1581025631413 360 220 touchmove 189 126 25.5 25.5 0 economic 0
economic_aged_air_badly 1581025631429 360 220 touchmove 203 113 25.5 25.5 0 economic 0
economic_aged_air_badly 1581025631446 360 220 touchmove 220 99 25 25 0 economic 0
economic_aged_air_badly 1581025631462 360 220 touchmove 238 84 24.25 24.25 0 economic 0
economic_aged_air_badly 1581025631479 360 220 touchmove 253 70 23.25 23.25 0 economic 0
economic_aged_air_badly 1581025631495 360 220 touchmove 266 58 22.5 22.5 0 economic 0
economic_aged_air_badly 1581025631513 360 220 touchmove 276 50 22.25 22.25 0 economic 0
economic_aged_air_badly 1581025631532 360 220 touchmove 282 45 22.25 22.25 0 economic 0
economic_aged_air_badly 1581025631546 360 220 touchmove 286 41 22.25 22.25 0 economic 0
economic_aged_air_badly 1581025631562 360 220 touchmove 288 39 22 22 0 economic 0
economic_aged_air_badly 1581025631578 360 220 touchmove 290 38 21.5 21.5 0 economic 0
economic_aged_air_badly 1581025631596 360 220 touchmove 291 38 21 21 0 economic 0
economic_aged_air_badly 1581025631612 360 220 touchmove 295 37 20.5 20.5 0 economic 0
economic_aged_air_badly 1581025631629 360 220 touchmove 299 35 20.25 20.25 0 economic 0
economic_aged_air_badly 1581025631645 360 220 touchmove 301 34 20 20 0 economic 0
economic_aged_air_badly 1581025631662 360 220 touchmove 304 33 20 20 0 economic 0
economic_aged_air_badly 1581025631679 360 220 touchmove 305 33 20 20 0 economic 0
economic_aged_air_badly 1581025631695 360 220 touchmove 307 32 20 20 0 economic 0
economic_aged_air_badly 1581025631712 360 220 touchmove 308 33 20 20 0 economic 0
economic_aged_air_badly 1581025631735 360 220 touchmove 309 33 20 20 0 economic 0
economic_aged_air_badly 1581025631752 360 220 touchmove 309 33 20 20 0 economic 0
economic_aged_air_badly 1581025631769 360 220 touchmove 310 33 20 20 0 economic 0
economic_aged_air_badly 1581025631785 360 220 touchmove 310 33 20 20 0 economic 0
economic_aged_air_badly 1581025631802 360 220 touchmove 311 33 20 20 0 economic 0
economic_aged_air_badly 1581025631819 360 220 touchmove 311 33 20.25 20.25 0 economic 0
economic_aged_air_badly 1581025631836 360 220 touchmove 311 33 20.5 20.5 0 economic 0
economic_aged_air_badly 1581025631852 360 220 touchmove 311 33 20.75 20.75 0 economic 0
economic_aged_air_badly 1581025631869 360 220 touchmove 311 33 21 21 0 economic 0
economic_aged_air_badly 1581025631885 360 220 touchmove 311 33 21.25 21.25 0 economic 0
economic_aged_air_badly 1581025631902 360 220 touchmove 311 33 21.5 21.5 0 economic 0
economic_aged_air_badly 1581025631962 360 220 touchmove 312 33 21.5 21.5 0 economic 0
economic_aged_air_badly 1581025632011 360 220 touchmove 312 33 21.5 21.5 0 economic 0
economic_aged_air_badly 1581025632036 360 220 touchmove 312 34 21.75 21.75 0 economic 0
economic_aged_air_badly 1581025632052 360 220 touchmove 310 37 22 22 0 economic 0
economic_aged_air_badly 1581025632070 360 220 touchmove 306 46 22.25 22.25 0 economic 0
economic_aged_air_badly 1581025632085 360 220 touchmove 299 58 22.5 22.5 0 economic 0
economic_aged_air_badly 1581025632102 360 220 touchmove 291 73 22.75 22.75 0 economic 0
economic_aged_air_badly 1581025632120 360 220 touchmove 281 90 23 23 0 economic 0
economic_aged_air_badly 1581025632135 360 220 touchmove 270 108 23.25 23.25 0 economic 0
economic_aged_air_badly 1581025632152 360 220 touchmove 261 125 23.25 23.25 0 economic 0
economic_aged_air_badly 1581025632169 360 220 touchmove 256 135 23 23 0 economic 0
economic_aged_air_badly 1581025632186 360 220 touchmove 253 142 23 23 0 economic 0
economic_aged_air_badly 1581025632202 360 220 touchmove 251 145 22.75 22.75 0 economic 0
economic_aged_air_badly 1581025632228 360 220 touchmove 251 147 22.5 22.5 0 economic 0
economic_aged_air_badly 1581025632245 360 220 touchmove 252 147 22.5 22.5 0 economic 0
economic_aged_air_badly 1581025632261 360 220 touchmove 253 146 22.5 22.5 0 economic 0
economic_aged_air_badly 1581025632278 360 220 touchmove 253 146 22.5 22.5 0 economic 0
economic_aged_air_badly 1581025632298 360 220 touchmove 257 141 22.5 22.5 0 economic 0
economic_aged_air_badly 1581025632314 360 220 touchmove 263 132 22.25 22.25 0 economic 0
economic_aged_air_badly 1581025632328 360 220 touchmove 269 122 21.75 21.75 0 economic 0
economic_aged_air_badly 1581025632344 360 220 touchmove 278 108 21.25 21.25 0 economic 0
economic_aged_air_badly 1581025632361 360 220 touchmove 287 92 21 21 0 economic 0
economic_aged_air_badly 1581025632378 360 220 touchmove 295 76 20.75 20.75 0 economic 0
economic_aged_air_badly 1581025632396 360 220 touchmove 300 62 20.75 20.75 0 economic 0
economic_aged_air_badly 1581025632411 360 220 touchmove 304 52 20.5 20.5 0 economic 0
economic_aged_air_badly 1581025632429 360 220 touchmove 306 44 20.25 20.25 0 economic 0
