sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
take_nationally_battle_ugi 1583211721981 411 251 touchstart 183 41 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722013 411 251 touchmove 181 40 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722028 411 251 touchmove 180 40 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722045 411 251 touchmove 177 41 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722062 411 251 touchmove 171 44 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722078 411 251 touchmove 162 50 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722095 411 251 touchmove 149 54 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722111 411 251 touchmove 137 61 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722128 411 251 touchmove 120 68 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722145 411 251 touchmove 103 74 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722162 411 251 touchmove 87 80 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722179 411 251 touchmove 73 85 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722195 411 251 touchmove 62 91 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722212 411 251 touchmove 50 95 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722229 411 251 touchmove 42 100 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722245 411 251 touchmove 36 106 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722262 411 251 touchmove 33 110 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722278 411 251 touchmove 31 112 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722295 411 251 touchmove 31 114 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722311 411 251 touchmove 30 116 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722328 411 251 touchmove 30 116 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722345 411 251 touchmove 31 117 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722362 411 251 touchmove 33 117 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722379 411 251 touchmove 38 117 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722395 411 251 touchmove 61 119 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722411 411 251 touchmove 75 119 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722428 411 251 touchmove 91 118 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722445 411 251 touchmove 107 118 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722462 411 251 touchmove 125 118 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722479 411 251 touchmove 141 116 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722495 411 251 touchmove 159 116 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722511 411 251 touchmove 172 116 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722529 411 251 touchmove 178 116 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722545 411 251 touchmove 194 116 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722562 411 251 touchmove 205 116 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722579 411 251 touchmove 217 116 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211722596 411 251 touchmove 227 116 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722612 411 251 touchmove 238 116 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722628 411 251 touchmove 249 115 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722645 411 251 touchmove 258 114 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722662 411 251 touchmove 269 111 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722679 411 251 touchmove 276 110 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722695 411 251 touchmove 283 107 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722711 411 251 touchmove 288 106 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722729 411 251 touchmove 291 105 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722745 411 251 touchmove 297 104 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722761 411 251 touchmove 303 104 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722779 411 251 touchmove 309 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722795 411 251 touchmove 312 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722812 411 251 touchmove 314 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722828 411 251 touchmove 315 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722845 411 251 touchmove 316 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722862 411 251 touchmove 316 104 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722878 411 251 touchmove 315 104 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722905 411 251 touchmove 315 104 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722917 411 251 touchmove 315 104 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722930 411 251 touchmove 314 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722946 411 251 touchmove 313 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722962 411 251 touchmove 313 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722978 411 251 touchmove 308 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211722995 411 251 touchmove 303 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211723012 411 251 touchmove 293 103 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211723033 411 251 touchmove 285 102 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211723047 411 251 touchmove 274 102 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211723062 411 251 touchmove 259 100 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211723078 411 251 touchmove 241 96 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211723095 411 251 touchmove 222 92 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211723114 411 251 touchmove 206 90 0.28571429848671 0.28571429848671 0 take 0
take_nationally_battle_ugi 1583211723129 411 251 touchmove 190 87 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723145 411 251 touchmove 174 84 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723162 411 251 touchmove 163 79 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723178 411 251 touchmove 155 72 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723194 411 251 touchmove 144 62 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723213 411 251 touchmove 138 51 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723228 411 251 touchmove 133 44 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723246 411 251 touchmove 128 39 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723261 411 251 touchmove 123 36 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723278 411 251 touchmove 116 32 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723295 411 251 touchmove 111 30 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723312 411 251 touchmove 107 28 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723327 411 251 touchmove 106 27 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723344 411 251 touchmove 105 26 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723361 411 251 touchmove 104 25 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723378 411 251 touchmove 103 24 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723395 411 251 touchmove 103 23 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723411 411 251 touchmove 103 24 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723427 411 251 touchmove 103 23 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723447 411 251 touchmove 104 23 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723461 411 251 touchmove 105 23 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723477 411 251 touchmove 110 23 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211723483 411 251 touchend 110 23 0.57142859697342 0.57142859697342 0 take 0
take_nationally_battle_ugi 1583211724446 411 251 touchstart 292 187 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724461 411 251 touchmove 291 186 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724477 411 251 touchmove 290 184 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724495 411 251 touchmove 288 183 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724515 411 251 touchmove 287 183 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724528 411 251 touchmove 286 183 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724543 411 251 touchmove 284 183 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724559 411 251 touchmove 273 184 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724576 411 251 touchmove 261 183 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724593 411 251 touchmove 254 183 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724611 411 251 touchmove 234 181 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724626 411 251 touchmove 205 179 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724643 411 251 touchmove 194 178 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724659 411 251 touchmove 174 176 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724676 411 251 touchmove 156 175 0.28571429848671 0.28571429848671 0 nationally 0
take_nationally_battle_ugi 1583211724693 411 251 touchmove 137 168 0.28571429848671 0.28571429848671 0 nationally 0
