sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
what_is_up_with_ene 1582091082683 360 218 touchstart 44 15 1.25 1.25 0 what 0
what_is_up_with_ene 1582091082812 360 218 touchmove 75 33 2.5 2.5 0 what 0
what_is_up_with_ene 1582091082828 360 218 touchmove 90 41 1.5 1.5 0 what 0
what_is_up_with_ene 1582091082844 360 218 touchmove 109 49 1.5 1.5 0 what 0
what_is_up_with_ene 1582091082860 360 218 touchmove 128 57 2.25 2.25 0 what 0
what_is_up_with_ene 1582091082876 360 218 touchmove 144 64 1 1 0 what 0
what_is_up_with_ene 1582091082893 360 218 touchmove 159 68 1.25 1.25 0 what 0
what_is_up_with_ene 1582091082910 360 218 touchmove 171 71 0.5 0.5 0 what 0
what_is_up_with_ene 1582091082926 360 218 touchmove 179 73 1 1 0 what 0
what_is_up_with_ene 1582091082943 360 218 touchmove 187 74 2 2 0 what 0
what_is_up_with_ene 1582091082960 360 218 touchmove 194 77 1 1 0 what 0
what_is_up_with_ene 1582091082977 360 218 touchmove 199 79 1.75 1.75 0 what 0
what_is_up_with_ene 1582091082993 360 218 touchmove 202 82 0.75 0.75 0 what 0
what_is_up_with_ene 1582091083010 360 218 touchmove 205 85 2.5 2.5 0 what 0
what_is_up_with_ene 1582091083027 360 218 touchmove 208 86 1.25 1.25 0 what 0
what_is_up_with_ene 1582091083043 360 218 touchmove 210 88 2.25 2.25 0 what 0
what_is_up_with_ene 1582091083060 360 218 touchmove 212 89 1.75 1.75 0 what 0
what_is_up_with_ene 1582091083077 360 218 touchmove 213 90 2.25 2.25 0 what 0
what_is_up_with_ene 1582091083093 360 218 touchmove 213 90 1.25 1.25 0 what 0
what_is_up_with_ene 1582091083126 360 218 touchmove 211 90 1 1 0 what 0
what_is_up_with_ene 1582091083143 360 218 touchmove 203 92 1.5 1.5 0 what 0
what_is_up_with_ene 1582091083160 360 218 touchmove 190 93 1.5 1.5 0 what 0
what_is_up_with_ene 1582091083176 360 218 touchmove 173 94 1.75 1.75 0 what 0
what_is_up_with_ene 1582091083193 360 218 touchmove 153 94 1.75 1.75 0 what 0
what_is_up_with_ene 1582091083210 360 218 touchmove 133 95 2 2 0 what 0
what_is_up_with_ene 1582091083227 360 218 touchmove 111 96 1 1 0 what 0
what_is_up_with_ene 1582091083244 360 218 touchmove 91 97 1 1 0 what 0
what_is_up_with_ene 1582091083260 360 218 touchmove 72 96 1 1 0 what 0
what_is_up_with_ene 1582091083277 360 218 touchmove 53 95 0.75 0.75 0 what 0
what_is_up_with_ene 1582091083293 360 218 touchmove 46 95 2.25 2.25 0 what 0
what_is_up_with_ene 1582091083310 360 218 touchmove 35 94 2.5 2.5 0 what 0
what_is_up_with_ene 1582091083327 360 218 touchmove 27 94 1.5 1.5 0 what 0
what_is_up_with_ene 1582091083343 360 218 touchmove 24 95 0.5 0.5 0 what 0
what_is_up_with_ene 1582091083360 360 218 touchmove 23 95 1.25 1.25 0 what 0
what_is_up_with_ene 1582091083377 360 218 touchmove 22 95 1 1 0 what 0
what_is_up_with_ene 1582091083393 360 218 touchmove 26 94 2.5 2.5 0 what 0
what_is_up_with_ene 1582091083410 360 218 touchmove 43 92 2.25 2.25 0 what 0
what_is_up_with_ene 1582091083427 360 218 touchmove 54 91 1.75 1.75 0 what 0
what_is_up_with_ene 1582091083443 360 218 touchmove 65 88 1.75 1.75 0 what 0
what_is_up_with_ene 1582091083460 360 218 touchmove 77 85 1.25 1.25 0 what 0
what_is_up_with_ene 1582091083477 360 218 touchmove 92 80 1 1 0 what 0
what_is_up_with_ene 1582091083497 360 218 touchmove 112 72 1 1 0 what 0
what_is_up_with_ene 1582091083510 360 218 touchmove 134 61 1.5 1.5 0 what 0
what_is_up_with_ene 1582091083526 360 218 touchmove 152 48 1.5 1.5 0 what 0
what_is_up_with_ene 1582091083543 360 218 touchmove 162 40 1.75 1.75 0 what 0
