sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
burberry_capitol_traditional_congress 1582163612329 360 207 touchstart 205 150 0.75 0.75 0 burberry 0
burberry_capitol_traditional_congress 1582163612441 360 207 touchmove 209 137 2.25 2.25 0 burberry 0
burberry_capitol_traditional_congress 1582163612478 360 207 touchmove 218 109 2.25 2.25 0 burberry 0
burberry_capitol_traditional_congress 1582163612497 360 207 touchmove 222 93 1.75 1.75 0 burberry 0
burberry_capitol_traditional_congress 1582163612521 360 207 touchmove 223 82 1.75 1.75 0 burberry 0
burberry_capitol_traditional_congress 1582163612538 360 207 touchmove 225 72 2.25 2.25 0 burberry 0
burberry_capitol_traditional_congress 1582163612554 360 207 touchmove 226 62 1.25 1.25 0 burberry 0
burberry_capitol_traditional_congress 1582163612577 360 207 touchmove 226 48 1.75 1.75 0 burberry 0
burberry_capitol_traditional_congress 1582163612590 360 207 touchmove 227 42 1.5 1.5 0 burberry 0
burberry_capitol_traditional_congress 1582163612607 360 207 touchmove 229 34 1.25 1.25 0 burberry 0
burberry_capitol_traditional_congress 1582163612622 360 207 touchmove 230 31 2 2 0 burberry 0
burberry_capitol_traditional_congress 1582163612640 360 207 touchmove 233 21 1.75 1.75 0 burberry 0
burberry_capitol_traditional_congress 1582163612656 360 207 touchmove 234 19 2.5 2.5 0 burberry 0
burberry_capitol_traditional_congress 1582163612674 360 207 touchmove 235 17 2.25 2.25 0 burberry 0
burberry_capitol_traditional_congress 1582163612690 360 207 touchmove 235 16 1 1 0 burberry 0
burberry_capitol_traditional_congress 1582163612705 360 207 touchmove 236 16 1 1 0 burberry 0
burberry_capitol_traditional_congress 1582163612723 360 207 touchmove 236 16 1 1 0 burberry 0
burberry_capitol_traditional_congress 1582163612737 360 207 touchmove 236 15 0.75 0.75 0 burberry 0
burberry_capitol_traditional_congress 1582163613070 360 207 touchmove 235 16 0.75 0.75 0 burberry 0
burberry_capitol_traditional_congress 1582163613089 360 207 touchmove 233 17 1.75 1.75 0 burberry 0
burberry_capitol_traditional_congress 1582163613109 360 207 touchmove 226 20 1 1 0 burberry 0
burberry_capitol_traditional_congress 1582163613139 360 207 touchmove 218 23 2 2 0 burberry 0
burberry_capitol_traditional_congress 1582163613155 360 207 touchmove 209 25 1.5 1.5 0 burberry 0
burberry_capitol_traditional_congress 1582163613173 360 207 touchmove 200 27 2.25 2.25 0 burberry 0
