sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
thank_you_for_your_prompt_reply 1580166174234 411 243 touchstart 176 30 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166174296 411 243 touchmove 180 32 0.85714286565781 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166174312 411 243 touchmove 185 36 0.85714286565781 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166174329 411 243 touchmove 194 43 0.57142865657806 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166174346 411 243 touchmove 207 53 0.57142865657806 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166174364 411 243 touchmove 221 66 0.57142865657806 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166174379 411 243 touchmove 233 78 0.57142865657806 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166174395 411 243 touchmove 243 88 0.71428573131561 0.71428573131561 0 thank 0
thank_you_for_your_prompt_reply 1580166174412 411 243 touchmove 250 93 0.57142865657806 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166174427 411 243 touchmove 253 96 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166174445 411 243 touchmove 256 99 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166174462 411 243 touchmove 257 101 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166174478 411 243 touchmove 256 103 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174495 411 243 touchmove 254 104 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174512 411 243 touchmove 249 105 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174528 411 243 touchmove 243 105 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166174546 411 243 touchmove 234 104 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174562 411 243 touchmove 220 102 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174580 411 243 touchmove 205 100 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174596 411 243 touchmove 190 98 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174613 411 243 touchmove 174 95 1.1428573131561 1.1428573131561 0 thank 0
thank_you_for_your_prompt_reply 1580166174630 411 243 touchmove 157 91 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174646 411 243 touchmove 138 88 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174663 411 243 touchmove 121 85 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174679 411 243 touchmove 105 83 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174697 411 243 touchmove 91 82 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174713 411 243 touchmove 76 84 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174730 411 243 touchmove 63 87 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174747 411 243 touchmove 52 91 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174764 411 243 touchmove 45 95 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174782 411 243 touchmove 41 99 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174795 411 243 touchmove 36 105 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174812 411 243 touchmove 33 110 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174830 411 243 touchmove 33 114 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174846 411 243 touchmove 35 116 1.2857142686844 1.2857142686844 0 thank 0
thank_you_for_your_prompt_reply 1580166174863 411 243 touchmove 36 118 1.2857142686844 1.2857142686844 0 thank 0
thank_you_for_your_prompt_reply 1580166174880 411 243 touchmove 37 119 1.2857142686844 1.2857142686844 0 thank 0
thank_you_for_your_prompt_reply 1580166174897 411 243 touchmove 38 120 1.2857142686844 1.2857142686844 0 thank 0
thank_you_for_your_prompt_reply 1580166174913 411 243 touchmove 39 120 1.2857142686844 1.2857142686844 0 thank 0
thank_you_for_your_prompt_reply 1580166174929 411 243 touchmove 40 120 1.2857142686844 1.2857142686844 0 thank 0
thank_you_for_your_prompt_reply 1580166174947 411 243 touchmove 40 120 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174963 411 243 touchmove 42 121 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166174981 411 243 touchmove 44 121 0.85714286565781 1.2857142686844 0 thank 0
thank_you_for_your_prompt_reply 1580166174997 411 243 touchmove 51 121 1.1428573131561 1.1428573131561 0 thank 0
thank_you_for_your_prompt_reply 1580166175014 411 243 touchmove 63 122 1.1428573131561 1.1428573131561 0 thank 0
thank_you_for_your_prompt_reply 1580166175030 411 243 touchmove 85 124 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175046 411 243 touchmove 111 127 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175063 411 243 touchmove 141 131 0.57142865657806 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175080 411 243 touchmove 176 135 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175097 411 243 touchmove 208 138 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175114 411 243 touchmove 232 143 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175131 411 243 touchmove 249 146 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175153 411 243 touchmove 257 149 0.85714286565781 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175167 411 243 touchmove 263 153 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175183 411 243 touchmove 269 157 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175197 411 243 touchmove 276 162 0.85714286565781 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175213 411 243 touchmove 283 167 1 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175231 411 243 touchmove 289 171 0.85714286565781 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175251 411 243 touchmove 295 172 0.85714286565781 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175264 411 243 touchmove 300 172 0.85714286565781 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175280 411 243 touchmove 302 171 0.85714286565781 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175297 411 243 touchmove 303 170 0.85714286565781 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175313 411 243 touchmove 302 169 0.57142865657806 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175330 411 243 touchmove 299 166 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175348 411 243 touchmove 295 160 0.57142865657806 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175364 411 243 touchmove 293 154 0.85714286565781 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175381 411 243 touchmove 294 144 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175397 411 243 touchmove 299 135 0.57142865657806 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175414 411 243 touchmove 307 122 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175430 411 243 touchmove 316 110 0.57142865657806 1 0 thank 0
thank_you_for_your_prompt_reply 1580166175449 411 243 touchmove 324 104 0.57142865657806 0.85714286565781 0 thank 0
thank_you_for_your_prompt_reply 1580166175464 411 243 touchmove 328 100 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166175480 411 243 touchmove 331 98 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166175500 411 243 touchmove 333 97 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166175516 411 243 touchmove 334 97 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166175531 411 243 touchmove 334 97 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166175548 411 243 touchmove 334 97 0.57142865657806 0.57142865657806 0 thank 0
thank_you_for_your_prompt_reply 1580166175576 411 243 touchmove 333 98 0.14285716414452 0.28571432828903 0 thank 0
thank_you_for_your_prompt_reply 1580166175578 411 243 touchend 333 98 0.14285716414452 0.28571432828903 0 thank 0
thank_you_for_your_prompt_reply 1580166176371 411 243 touchstart 232 27 0.57142865657806 0.57142865657806 0 you 0
thank_you_for_your_prompt_reply 1580166176432 411 243 touchmove 235 30 0.85714286565781 0.85714286565781 0 you 0
thank_you_for_your_prompt_reply 1580166176450 411 243 touchmove 238 33 1 1 0 you 0
thank_you_for_your_prompt_reply 1580166176467 411 243 touchmove 241 38 1 1 0 you 0
thank_you_for_your_prompt_reply 1580166176483 411 243 touchmove 243 44 0.57142865657806 1 0 you 0
thank_you_for_your_prompt_reply 1580166176500 411 243 touchmove 248 48 0.57142865657806 1 0 you 0
thank_you_for_your_prompt_reply 1580166176516 411 243 touchmove 252 52 0.57142865657806 0.57142865657806 0 you 0
