sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
its_not_looking_too_good_is_it 1583708407749 360 197 touchstart 276 41 1.25 1.5 0 its 0
its_not_looking_too_good_is_it 1583708407761 360 197 touchmove 276 41 1.25 1.5 0 its 0
its_not_looking_too_good_is_it 1583708407828 360 197 touchmove 275 41 1.25 1.5 0 its 0
its_not_looking_too_good_is_it 1583708407845 360 197 touchmove 259 40 1.25 1.25 0 its 0
its_not_looking_too_good_is_it 1583708407861 360 197 touchmove 235 39 1.25 1.25 0 its 0
its_not_looking_too_good_is_it 1583708407878 360 197 touchmove 217 38 1 1.25 0 its 0
its_not_looking_too_good_is_it 1583708407895 360 197 touchmove 199 38 1 1.25 0 its 0
its_not_looking_too_good_is_it 1583708407911 360 197 touchmove 182 37 1.25 1.25 0 its 0
its_not_looking_too_good_is_it 1583708407928 360 197 touchmove 164 35 1 1.25 0 its 0
its_not_looking_too_good_is_it 1583708407945 360 197 touchmove 154 33 0.75 1 0 its 0
its_not_looking_too_good_is_it 1583708407961 360 197 touchmove 149 32 1 1 0 its 0
its_not_looking_too_good_is_it 1583708407978 360 197 touchmove 147 32 1 1.25 0 its 0
its_not_looking_too_good_is_it 1583708407998 360 197 touchmove 147 32 1 1 0 its 0
its_not_looking_too_good_is_it 1583708408016 360 197 touchmove 147 32 1 1.25 0 its 0
its_not_looking_too_good_is_it 1583708408028 360 197 touchmove 145 35 1.25 1.25 0 its 0
its_not_looking_too_good_is_it 1583708408045 360 197 touchmove 146 52 1 1 0 its 0
its_not_looking_too_good_is_it 1583708408061 360 197 touchmove 150 68 1 1 0 its 0
its_not_looking_too_good_is_it 1583708408078 360 197 touchmove 150 80 1 1.5 0 its 0
its_not_looking_too_good_is_it 1583708408095 360 197 touchmove 147 91 0.75 0.75 0 its 0
its_not_looking_too_good_is_it 1583708408111 360 197 touchmove 142 97 1.25 1.25 0 its 0
its_not_looking_too_good_is_it 1583708408128 360 197 touchmove 131 104 0.75 1.25 0 its 0
its_not_looking_too_good_is_it 1583708408145 360 197 touchmove 119 106 1.25 1.25 0 its 0
its_not_looking_too_good_is_it 1583708408162 360 197 touchmove 103 107 1 1.25 0 its 0
its_not_looking_too_good_is_it 1583708408178 360 197 touchmove 92 105 1.25 1.25 0 its 0
its_not_looking_too_good_is_it 1583708408195 360 197 touchmove 82 103 1 1 0 its 0
its_not_looking_too_good_is_it 1583708408212 360 197 touchmove 77 102 1 1.25 0 its 0
its_not_looking_too_good_is_it 1583708408229 360 197 touchmove 75 102 1 1.25 0 its 0
