sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
what_is_the_mood 1581698361363 360 212 touchstart 52 34 1.25 1.75 0 what 0
what_is_the_mood 1581698361405 360 212 touchmove 54 35 1.5 1.75 0 what 0
what_is_the_mood 1581698361423 360 212 touchmove 78 44 1.5 1.5 0 what 0
what_is_the_mood 1581698361444 360 212 touchmove 109 54 1.25 1.5 0 what 0
what_is_the_mood 1581698361474 360 212 touchmove 183 70 1.25 1.25 0 what 0
what_is_the_mood 1581698361493 360 212 touchmove 201 76 1.25 1.5 0 what 0
what_is_the_mood 1581698361511 360 212 touchmove 212 79 1.25 1.5 0 what 0
what_is_the_mood 1581698361537 360 212 touchmove 216 81 1.25 1.5 0 what 0
what_is_the_mood 1581698361555 360 212 touchmove 204 85 1.25 1.5 0 what 0
what_is_the_mood 1581698361571 360 212 touchmove 181 92 1 1.75 0 what 0
what_is_the_mood 1581698361588 360 212 touchmove 152 97 1.25 1.5 0 what 0
what_is_the_mood 1581698361605 360 212 touchmove 119 102 1.25 1.5 0 what 0
what_is_the_mood 1581698361622 360 212 touchmove 92 103 0.75 1.75 0 what 0
what_is_the_mood 1581698361638 360 212 touchmove 65 104 1 1.75 0 what 0
what_is_the_mood 1581698361655 360 212 touchmove 41 104 1.25 1.75 0 what 0
what_is_the_mood 1581698361671 360 212 touchmove 29 104 1.25 1.75 0 what 0
what_is_the_mood 1581698361688 360 212 touchmove 25 103 1.25 1.75 0 what 0
what_is_the_mood 1581698361705 360 212 touchmove 23 103 1.25 1.75 0 what 0
what_is_the_mood 1581698361722 360 212 touchmove 22 103 1.25 1.75 0 what 0
what_is_the_mood 1581698361772 360 212 touchmove 71 75 1.5 1.75 0 what 0
what_is_the_mood 1581698361788 360 212 touchmove 110 59 1.5 1.75 0 what 0
what_is_the_mood 1581698361805 360 212 touchmove 142 44 1.5 1.5 0 what 0
what_is_the_mood 1581698361821 360 212 touchmove 162 34 1.5 1.5 0 what 0
what_is_the_mood 1581698361839 360 212 touchmove 169 29 1.5 1.5 0 what 0
what_is_the_mood 1581698361857 360 212 touchmove 171 26 1.5 1.75 0 what 0
what_is_the_mood 1581698361872 360 212 touchmove 172 23 1.5 1.75 0 what 0
what_is_the_mood 1581698361889 360 212 touchmove 172 22 1.5 1.5 0 what 0
what_is_the_mood 1581698361904 360 212 touchmove 170 22 1 1.25 0 what 0
what_is_the_mood 1581698361907 360 212 touchend 170 22 1 1.25 0 what 0
what_is_the_mood 1581698362053 360 212 touchstart 254 24 0.5 0.75 0 is 0
what_is_the_mood 1581698362089 360 212 touchmove 254 24 1.25 1.25 0 is 0
what_is_the_mood 1581698362106 360 212 touchmove 252 25 1.5 1.5 0 is 0
what_is_the_mood 1581698362123 360 212 touchmove 249 28 1.5 1.5 0 is 0
what_is_the_mood 1581698362139 360 212 touchmove 243 31 1.5 1.5 0 is 0
what_is_the_mood 1581698362156 360 212 touchmove 234 35 1.5 1.5 0 is 0
what_is_the_mood 1581698362173 360 212 touchmove 215 41 1.25 1.5 0 is 0
what_is_the_mood 1581698362189 360 212 touchmove 189 51 1.25 1.5 0 is 0
what_is_the_mood 1581698362206 360 212 touchmove 161 59 1 1.5 0 is 0
what_is_the_mood 1581698362222 360 212 touchmove 137 64 0.75 1.5 0 is 0
what_is_the_mood 1581698362239 360 212 touchmove 115 67 1.25 1.5 0 is 0
what_is_the_mood 1581698362256 360 212 touchmove 96 70 0.75 1.5 0 is 0
what_is_the_mood 1581698362273 360 212 touchmove 78 72 1 1.5 0 is 0
what_is_the_mood 1581698362290 360 212 touchmove 68 74 1.25 1.5 0 is 0
what_is_the_mood 1581698362306 360 212 touchmove 61 77 0.75 1.5 0 is 0
what_is_the_mood 1581698362323 360 212 touchmove 56 78 1 1.5 0 is 0
what_is_the_mood 1581698362340 360 212 touchmove 54 79 1.25 1.5 0 is 0
what_is_the_mood 1581698362356 360 212 touchmove 53 80 1.5 1.5 0 is 0
what_is_the_mood 1581698362373 360 212 touchmove 51 80 1.5 1.5 0 is 0
what_is_the_mood 1581698362390 360 212 touchmove 50 80 1.5 1.5 0 is 0
what_is_the_mood 1581698362406 360 212 touchmove 49 84 1.5 1.5 0 is 0
what_is_the_mood 1581698362434 360 212 touchmove 49 92 1.25 1.5 0 is 0
what_is_the_mood 1581698362453 360 212 touchmove 50 97 1.25 1.5 0 is 0
what_is_the_mood 1581698362457 360 212 touchend 50 97 1.25 1.5 0 is 0
what_is_the_mood 1581698362612 360 212 touchstart 152 15 1 1.5 0 the 0
what_is_the_mood 1581698362640 360 212 touchmove 152 15 1.5 1.5 0 the 0
what_is_the_mood 1581698362657 360 212 touchmove 154 17 1.5 1.75 0 the 0
what_is_the_mood 1581698362673 360 212 touchmove 159 22 1.5 1.75 0 the 0
what_is_the_mood 1581698362690 360 212 touchmove 169 33 1.5 1.75 0 the 0
what_is_the_mood 1581698362708 360 212 touchmove 180 48 1.5 1.5 0 the 0
what_is_the_mood 1581698362723 360 212 touchmove 194 63 1.25 1.5 0 the 0
what_is_the_mood 1581698362741 360 212 touchmove 205 73 1.25 1.5 0 the 0
what_is_the_mood 1581698362758 360 212 touchmove 214 80 1.25 1.5 0 the 0
what_is_the_mood 1581698362774 360 212 touchmove 219 84 1.5 1.5 0 the 0
