sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
im_glad_she_likes_her_tree 1580421319416 423 239 touchstart 327 28 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319522 423 239 touchmove 325 36 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319534 423 239 touchmove 325 42 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319558 423 239 touchmove 324 60 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319572 423 239 touchmove 322 80 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319590 423 239 touchmove 322 91 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319605 423 239 touchmove 323 109 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319622 423 239 touchmove 325 127 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319639 423 239 touchmove 327 134 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319656 423 239 touchmove 331 148 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319673 423 239 touchmove 333 154 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319688 423 239 touchmove 335 162 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319706 423 239 touchmove 338 168 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319723 423 239 touchmove 339 170 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319738 423 239 touchmove 341 172 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319755 423 239 touchmove 342 173 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319773 423 239 touchmove 343 173 0 0 0 im 0
im_glad_she_likes_her_tree 1580421319782 423 239 touchend 343 173 0 0 0 im 0
im_glad_she_likes_her_tree 1580421321917 423 239 touchstart 215 97 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322053 423 239 touchmove 222 99 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322063 423 239 touchmove 227 100 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322088 423 239 touchmove 252 107 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322106 423 239 touchmove 261 109 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322123 423 239 touchmove 280 113 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322139 423 239 touchmove 288 115 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322155 423 239 touchmove 305 117 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322171 423 239 touchmove 312 117 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322187 423 239 touchmove 328 114 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322203 423 239 touchmove 344 111 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322221 423 239 touchmove 351 110 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322238 423 239 touchmove 364 107 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322254 423 239 touchmove 369 106 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322271 423 239 touchmove 377 103 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322288 423 239 touchmove 381 101 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322304 423 239 touchmove 382 100 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322321 423 239 touchmove 383 97 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322338 423 239 touchmove 382 96 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322354 423 239 touchmove 382 95 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322371 423 239 touchmove 382 95 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322388 423 239 touchmove 379 93 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322403 423 239 touchmove 378 92 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322421 423 239 touchmove 373 88 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322438 423 239 touchmove 370 86 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322453 423 239 touchmove 365 82 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322470 423 239 touchmove 362 80 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322487 423 239 touchmove 355 75 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322504 423 239 touchmove 351 73 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322525 423 239 touchmove 338 66 0 0 0 glad 0
im_glad_she_likes_her_tree 1580421322539 423 239 touchmove 323 59 0 0 0 glad 0
