sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
are_you_going_to_call 1580936492819 360 210 touchstart 25 84 25 25 81 are 0
are_you_going_to_call 1580936492894 360 210 touchmove 26 83 30 25 6 are 0
are_you_going_to_call 1580936492912 360 210 touchmove 35 80 30 27.5 0 are 0
are_you_going_to_call 1580936492926 360 210 touchmove 48 77 27.5 30 80 are 0
are_you_going_to_call 1580936492943 360 210 touchmove 62 72 32.5 25 3.0000076293945 are 0
are_you_going_to_call 1580936492961 360 210 touchmove 79 67 32.5 25 3.0000076293945 are 0
are_you_going_to_call 1580936492979 360 210 touchmove 92 63 30 25 0 are 0
are_you_going_to_call 1580936492998 360 210 touchmove 104 58 32.5 25 0 are 0
are_you_going_to_call 1580936493010 360 210 touchmove 114 52 30 25 2.0000076293945 are 0
are_you_going_to_call 1580936493026 360 210 touchmove 120 47 32.5 25 3.0000076293945 are 0
are_you_going_to_call 1580936493043 360 210 touchmove 125 43 30 25 8 are 0
are_you_going_to_call 1580936493060 360 210 touchmove 128 40 32.5 27.5 4 are 0
are_you_going_to_call 1580936493077 360 210 touchmove 129 37 30 27.5 6 are 0
are_you_going_to_call 1580936493094 360 210 touchmove 130 35 30 27.5 0 are 0
are_you_going_to_call 1580936493110 360 210 touchmove 131 32 30 27.5 5.0000076293945 are 0
are_you_going_to_call 1580936493127 360 210 touchmove 131 30 30 27.5 4 are 0
are_you_going_to_call 1580936493143 360 210 touchmove 130 27 32.5 27.5 4 are 0
are_you_going_to_call 1580936493163 360 210 touchmove 127 24 30 27.5 6 are 0
are_you_going_to_call 1580936493176 360 210 touchmove 125 22 30 27.5 7 are 0
are_you_going_to_call 1580936493194 360 210 touchmove 114 21 32.5 27.5 7 are 0
are_you_going_to_call 1580936493211 360 210 touchmove 108 21 30 27.5 5.0000076293945 are 0
are_you_going_to_call 1580936493228 360 210 touchmove 102 23 32.5 30 5.0000076293945 are 0
are_you_going_to_call 1580936493243 360 210 touchmove 98 25 30 30 11.000007629395 are 0
are_you_going_to_call 1580936493262 360 210 touchmove 97 25 32.5 30 4 are 0
are_you_going_to_call 1580936493278 360 210 touchmove 96 26 32.5 30 8 are 0
are_you_going_to_call 1580936493294 360 210 touchmove 96 26 30 30 13 are 0
are_you_going_to_call 1580936493311 360 210 touchmove 95 26 27.5 30 78 are 0
are_you_going_to_call 1580936493327 360 210 touchmove 96 30 30 30 13 are 0
are_you_going_to_call 1580936493341 360 210 touchmove 97 34 32.5 35 6 are 0
are_you_going_to_call 1580936493343 360 210 touchend 97 34 32.5 35 6 are 0
are_you_going_to_call 1580936494202 360 210 touchstart 190 24 25 25 83 you 0
are_you_going_to_call 1580936494209 360 210 touchmove 190 24 30 25 2.0000076293945 you 0
are_you_going_to_call 1580936494241 360 210 touchmove 190 24 27.5 25 5.0000076293945 you 0
are_you_going_to_call 1580936494260 360 210 touchmove 193 25 27.5 22.5 0 you 0
are_you_going_to_call 1580936494279 360 210 touchmove 198 27 27.5 25 10 you 0
are_you_going_to_call 1580936494295 360 210 touchmove 205 30 27.5 27.5 3.0000076293945 you 0
are_you_going_to_call 1580936494310 360 210 touchmove 212 33 27.5 27.5 5.0000076293945 you 0
are_you_going_to_call 1580936494330 360 210 touchmove 221 36 27.5 30 86.999992370605 you 0
are_you_going_to_call 1580936494344 360 210 touchmove 232 39 27.5 25 5.0000076293945 you 0
are_you_going_to_call 1580936494360 360 210 touchmove 245 42 27.5 25 1 you 0
are_you_going_to_call 1580936494377 360 210 touchmove 255 43 27.5 25 2.0000076293945 you 0
are_you_going_to_call 1580936494393 360 210 touchmove 266 44 27.5 25 16.000007629395 you 0
are_you_going_to_call 1580936494411 360 210 touchmove 275 43 27.5 25 13 you 0
are_you_going_to_call 1580936494427 360 210 touchmove 283 41 30 25 3.0000076293945 you 0
